POA_CODE_2021,M_Ag_For_Fshg_15_19,M_Ag_For_Fshg_20_24,M_Ag_For_Fshg_25_34,M_Ag_For_Fshg_35_44,M_Ag_For_Fshg_45_54,M_Ag_For_Fshg_55_64,M_Ag_For_Fshg_65_74,M_Ag_For_Fshg_75_84,M_Ag_For_Fshg_85ov,M_Ag_For_Fshg_Tot,M_Mining_15_19,M_Mining_20_24,M_Mining_25_34,M_Mining_35_44,M_Mining_45_54,M_Mining_55_64,M_Mining_65_74,M_Mining_75_84,M_Mining_85ov,M_Mining_Tot,M_Manufact_15_19,M_Manufact_20_24,M_Manufact_25_34,M_Manufact_35_44,M_Manufact_45_54,M_Manufact_55_64,M_Manufact_65_74,M_Manufact_75_84,M_Manufact_85ov,M_Manufact_Tot,M_El_Gas_Wt_Waste_15_19,M_El_Gas_Wt_Waste_20_24,M_El_Gas_Wt_Waste_25_34,M_El_Gas_Wt_Waste_35_44,M_El_Gas_Wt_Waste_45_54,M_El_Gas_Wt_Waste_55_64,M_El_Gas_Wt_Waste_65_74,M_El_Gas_Wt_Waste_75_84,M_El_Gas_Wt_Waste_85ov,M_El_Gas_Wt_Waste_Tot,M_Constru_15_19,M_Constru_20_24,M_Constru_25_34,M_Constru_35_44,M_Constru_45_54,M_Constru_55_64,M_Constru_65_74,M_Constru_75_84,M_Constru_85ov,M_Constru_Tot,M_WhlesaleTde_15_19,M_WhlesaleTde_20_24,M_WhlesaleTde_25_34,M_WhlesaleTde_35_44,M_WhlesaleTde_45_54,M_WhlesaleTde_55_64,M_WhlesaleTde_65_74,M_WhlesaleTde_75_84,M_WhlesaleTde_85ov,M_WhlesaleTde_Tot,M_RetTde_15_19,M_RetTde_20_24,M_RetTde_25_34,M_RetTde_35_44,M_RetTde_45_54,M_RetTde_55_64,M_RetTde_65_74,M_RetTde_75_84,M_RetTde_85ov,M_RetTde_Tot,M_Accom_food_15_19,M_Accom_food_20_24,M_Accom_food_25_34,M_Accom_food_35_44,M_Accom_food_45_54,M_Accom_food_55_64,M_Accom_food_65_74,M_Accom_food_75_84,M_Accom_food_85ov,M_Accom_food_Tot,M_Trans_post_wrehsg_15_19,M_Trans_post_wrehsg_20_24,M_Trans_post_wrehsg_25_34,M_Trans_post_wrehsg_35_44,M_Trans_post_wrehsg_45_54,M_Trans_post_wrehsg_55_64,M_Trans_post_wrehsg_65_74,M_Trans_post_wrehsg_75_84,M_Trans_post_wrehsg_85ov,M_Trans_post_wrehsg_Tot,M_Info_media_teleco_15_19,M_Info_media_teleco_20_24,M_Info_media_teleco_25_34,M_Info_media_teleco_35_44,M_Info_media_teleco_45_54,M_Info_media_teleco_55_64,M_Info_media_teleco_65_74,M_Info_media_teleco_75_84,M_Info_media_teleco_85ov,M_Info_media_teleco_Tot,M_Fin_Insur_15_19,M_Fin_Insur_20_24,M_Fin_Insur_25_34,M_Fin_Insur_35_44,M_Fin_Insur_45_54,M_Fin_Insur_55_64,M_Fin_Insur_65_74,M_Fin_Insur_75_84,M_Fin_Insur_85ov,M_Fin_Insur_Tot,M_RtnHir_REst_15_19,M_RtnHir_REst_20_24,M_RtnHir_REst_25_34,M_RtnHir_REst_35_44,M_RtnHir_REst_45_54,M_RtnHir_REst_55_64,M_RtnHir_REst_65_74,M_RtnHir_REst_75_84,M_RtnHir_REst_85ov,M_RtnHir_REst_Tot,M_Pro_scien_tec_15_19,M_Pro_scien_tec_20_24,M_Pro_scien_tec_25_34,M_Pro_scien_tec_35_44,M_Pro_scien_tec_45_54,M_Pro_scien_tec_55_64,M_Pro_scien_tec_65_74,M_Pro_scien_tec_75_84,M_Pro_scien_tec_85ov,M_Pro_scien_tec_Tot,M_Admin_supp_15_19,M_Admin_supp_20_24,M_Admin_supp_25_34,M_Admin_supp_35_44,M_Admin_supp_45_54,M_Admin_supp_55_64,M_Admin_supp_65_74,M_Admin_supp_75_84,M_Admin_supp_85ov,M_Admin_supp_Tot,M_Public_admin_sfty_15_19,M_Public_admin_sfty_20_24,M_Public_admin_sfty_25_34,M_Public_admin_sfty_35_44,M_Public_admin_sfty_45_54,M_Public_admin_sfty_55_64,M_Public_admin_sfty_65_74,M_Public_admin_sfty_75_84,M_Public_admin_sfty_85ov,M_Public_admin_sfty_Tot,M_Educ_trng_15_19,M_Educ_trng_20_24,M_Educ_trng_25_34,M_Educ_trng_35_44,M_Educ_trng_45_54,M_Educ_trng_55_64,M_Educ_trng_65_74,M_Educ_trng_75_84,M_Educ_trng_85ov,M_Educ_trng_Tot,M_HlthCare_SocAs_15_19,M_HlthCare_SocAs_20_24,M_HlthCare_SocAs_25_34,M_HlthCare_SocAs_35_44,M_HlthCare_SocAs_45_54,M_HlthCare_SocAs_55_64,M_HlthCare_SocAs_65_74,M_HlthCare_SocAs_75_84,M_HlthCare_SocAs_85ov,M_HlthCare_SocAs_Tot,M_Art_recn_15_19,M_Art_recn_20_24,M_Art_recn_25_34,M_Art_recn_35_44,M_Art_recn_45_54,M_Art_recn_55_64,M_Art_recn_65_74,M_Art_recn_75_84,M_Art_recn_85ov,M_Art_recn_Tot,M_Oth_scs_15_19,M_Oth_scs_20_24,M_Oth_scs_25_34,M_Oth_scs_35_44,M_Oth_scs_45_54,M_Oth_scs_55_64,M_Oth_scs_65_74,M_Oth_scs_75_84,M_Oth_scs_85ov,M_Oth_scs_Tot,M_ID_NS_15_19,M_ID_NS_20_24,M_ID_NS_25_34,M_ID_NS_35_44,M_ID_NS_45_54,M_ID_NS_55_64,M_ID_NS_65_74,M_ID_NS_75_84,M_ID_NS_85ov,M_ID_NS_Tot
POA2539,7,4,10,40,32,33,11,9,0,140,0,0,5,10,10,5,0,0,0,32,14,6,31,41,38,43,13,0,0,178,0,5,11,12,20,10,4,0,0,62,74,110,233,215,177,158,49,0,0,1013,0,3,7,18,17,18,5,3,0,79,60,29,55,49,69,71,20,3,0,365,74,38,66,58,85,63,14,4,0,402,0,0,5,27,35,51,20,3,0,140,0,0,4,6,8,6,0,0,0,28,0,0,5,11,13,15,0,0,0,49,0,0,5,17,9,21,8,0,0,59,0,6,31,39,31,36,32,9,0,183,4,6,25,32,41,34,17,5,0,168,0,5,21,67,74,54,16,0,0,245,4,4,31,38,42,49,21,0,0,185,0,8,30,47,33,52,17,5,0,188,0,3,7,4,12,15,3,0,0,54,6,9,21,30,24,37,12,0,0,139,13,8,30,22,37,39,11,0,0,167
POA2540,13,16,23,34,41,51,31,4,0,215,0,0,12,29,23,20,4,0,0,82,36,32,106,133,164,165,30,6,0,673,6,9,28,39,44,45,6,3,0,184,142,257,472,413,374,294,84,7,0,2036,7,14,19,30,47,54,7,6,0,178,100,93,136,112,134,134,39,7,0,755,188,86,118,77,97,110,39,4,0,724,10,13,62,77,109,132,32,8,0,443,7,3,3,9,17,21,11,0,0,66,3,3,9,14,14,22,12,0,0,84,3,13,12,23,22,25,14,3,0,109,11,12,45,94,95,92,52,9,0,403,7,24,45,53,70,96,24,3,0,331,29,135,346,341,348,266,41,0,0,1504,4,18,58,60,90,103,32,4,0,364,9,23,94,77,139,147,44,4,0,525,7,9,11,14,14,25,3,5,0,94,20,30,78,71,83,87,16,3,0,391,32,38,68,67,106,77,35,3,0,417
POA2541,10,7,27,15,10,7,7,0,0,77,0,0,10,12,6,10,0,0,0,43,11,31,117,110,104,96,18,5,0,492,0,5,22,20,16,22,3,0,0,90,56,118,241,168,144,111,27,0,0,865,5,5,20,16,29,28,8,0,0,115,65,85,142,90,63,63,10,3,0,521,155,81,102,65,45,34,4,0,0,484,0,6,65,49,86,76,39,4,0,324,0,6,4,7,0,3,0,0,0,25,0,4,8,13,21,11,0,0,0,59,0,0,14,13,10,11,4,0,0,46,0,23,55,44,33,35,14,0,0,208,0,16,45,44,51,53,11,0,0,219,4,53,224,175,150,124,24,0,0,756,0,15,45,37,32,34,9,0,0,177,0,30,128,117,103,104,23,3,0,511,7,3,12,4,10,8,0,0,0,48,10,28,55,36,44,37,10,3,0,222,15,20,65,55,53,47,3,5,3,275
POA2545,5,0,4,12,4,12,9,7,0,36,0,0,0,0,5,0,0,0,0,3,0,3,3,4,3,0,0,0,0,15,0,0,0,4,0,0,0,0,0,9,0,8,8,6,10,17,4,0,0,48,0,0,0,0,0,0,0,0,0,4,3,0,0,0,8,4,0,0,0,12,0,0,3,0,0,6,0,0,0,10,0,0,0,0,3,9,4,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,8,0,0,4,0,4,0,0,0,0,15,0,4,0,0,5,5,0,0,0,13,0,0,0,3,0,0,0,0,0,7,0,0,0,6,4,3,0,0,0,16,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,12,5,0,0,0,0,0,0,0,0,11
POA2546,3,0,12,24,19,18,19,3,0,101,0,0,4,4,0,4,4,0,0,15,3,4,11,21,11,22,9,0,0,81,0,0,3,5,5,7,0,0,0,28,27,24,75,56,78,72,21,4,0,351,5,0,9,6,6,5,5,0,0,27,31,11,24,17,34,32,13,4,0,179,23,12,34,21,41,46,22,0,0,184,3,3,5,10,15,20,15,0,0,72,3,0,0,3,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,16,0,5,4,3,7,9,5,0,0,32,0,0,4,7,8,30,31,3,0,81,6,0,13,12,13,29,5,0,0,73,0,3,7,28,28,30,5,0,0,112,0,9,10,11,18,21,9,0,0,70,0,0,16,21,21,39,15,0,0,109,0,0,4,0,9,16,3,0,0,44,6,5,12,10,16,18,6,0,0,66,4,5,16,17,16,18,10,4,0,96
POA2548,6,4,10,7,12,11,6,4,0,56,0,0,4,0,0,0,0,0,0,4,5,15,23,24,36,31,4,0,0,131,0,0,0,8,4,5,4,0,0,29,18,37,67,54,49,49,22,0,0,293,5,0,6,7,13,12,0,0,0,46,25,16,26,21,35,50,14,5,0,185,29,19,40,32,43,46,22,4,0,238,0,0,8,9,11,18,9,3,0,63,0,4,6,3,0,0,0,0,0,19,0,0,0,3,3,9,0,0,0,20,0,0,3,0,6,5,7,0,0,24,3,0,6,13,16,23,18,0,0,85,5,3,4,13,22,18,4,0,0,68,0,0,14,17,34,32,9,0,0,110,6,0,16,15,23,12,6,0,0,88,3,0,31,31,27,32,11,5,0,139,0,0,6,10,5,3,3,0,0,29,9,0,8,13,7,4,9,0,0,48,0,4,18,10,13,10,11,0,0,57
POA2549,4,0,11,15,14,13,9,5,0,82,0,0,6,4,0,0,0,0,0,11,10,3,22,13,12,17,5,0,0,78,0,0,0,4,4,0,0,0,0,16,15,17,38,31,43,32,11,5,0,187,4,0,3,3,7,7,3,0,0,29,9,3,3,5,21,15,0,0,0,60,13,7,9,6,8,11,9,0,0,57,3,0,5,7,15,14,0,0,0,47,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,8,0,0,0,4,0,0,0,0,0,4,0,0,0,3,9,12,5,0,0,32,0,3,5,9,13,12,4,0,0,46,0,0,8,9,19,16,0,0,0,60,0,0,3,3,14,18,4,0,0,43,0,0,4,6,16,16,0,0,0,37,0,0,0,0,8,8,4,0,0,30,3,0,9,11,4,7,6,0,0,38,5,0,9,8,4,10,3,0,0,37
POA2550,18,20,49,54,84,96,85,35,7,445,0,0,0,6,3,3,0,0,0,15,16,35,74,82,78,68,15,4,0,374,0,9,9,17,35,22,0,0,0,95,53,83,144,113,106,131,26,4,0,663,6,6,16,22,22,25,11,0,0,108,21,36,37,39,46,44,23,0,0,245,62,21,31,34,27,37,10,0,0,219,0,4,18,18,43,53,13,0,0,159,0,0,3,9,7,0,3,0,0,16,0,0,4,4,4,11,3,0,0,19,0,0,0,4,9,7,3,0,0,21,3,0,21,25,30,40,24,3,0,143,0,3,20,18,17,30,9,0,0,108,4,8,37,60,62,57,14,0,0,240,3,4,14,34,36,46,13,0,0,151,0,7,47,51,77,77,31,0,0,286,5,0,9,12,11,15,8,0,0,52,13,16,29,26,32,29,3,5,0,160,14,11,24,30,25,51,16,0,0,167
POA2551,0,7,11,19,15,14,10,0,0,80,0,0,0,0,0,0,0,0,0,0,0,8,3,4,13,19,0,4,0,49,0,0,3,0,0,7,0,0,0,11,3,8,20,19,27,15,6,0,0,105,0,6,5,3,10,10,0,0,0,31,6,8,6,7,8,15,8,0,0,55,9,6,9,11,14,11,7,0,0,59,4,0,8,3,13,11,5,3,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,9,5,0,0,23,0,0,4,0,3,9,0,0,0,18,0,0,7,9,17,4,3,0,0,44,0,0,0,0,0,3,3,0,0,10,0,0,6,5,0,6,3,0,0,24,0,0,0,6,0,0,0,0,0,6,0,5,0,4,4,11,4,0,0,26,0,0,0,8,11,17,3,0,0,53
POA2555,0,0,0,4,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
POA2556,0,0,4,5,9,6,4,3,0,36,0,0,0,0,0,0,0,0,0,0,0,4,8,9,20,17,0,0,0,56,0,0,0,0,0,0,0,0,0,5,18,16,32,21,37,25,7,3,0,160,3,0,5,8,4,9,4,0,0,26,5,9,0,3,0,9,5,0,0,31,7,4,0,0,0,3,0,0,0,16,0,0,5,7,15,16,3,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,5,0,0,6,0,5,0,0,0,0,14,0,5,0,0,0,0,0,0,0,15,0,0,3,3,0,0,0,0,0,12,0,0,3,6,3,8,4,0,0,20,0,0,6,3,0,5,0,0,0,19,0,4,0,0,5,0,0,0,0,15,0,0,0,0,0,0,0,0,0,4,4,0,4,5,8,4,0,0,0,29,4,7,11,3,6,8,3,0,0,44
POA2557,5,4,11,10,32,21,15,3,0,99,0,0,7,12,4,0,0,0,0,25,12,29,116,134,99,66,21,0,0,480,0,5,17,25,6,12,0,0,0,67,55,111,381,261,121,63,15,0,0,1003,6,10,62,77,40,23,11,0,0,222,27,50,126,113,58,29,9,0,0,414,53,20,44,45,17,6,0,0,0,187,9,23,168,159,128,69,23,4,0,583,0,7,35,29,10,6,0,0,0,90,0,9,74,84,22,18,7,0,0,208,3,8,35,16,4,6,3,0,0,80,0,20,101,96,40,8,8,0,0,278,0,14,36,35,28,19,3,0,0,135,0,24,112,120,60,29,0,0,0,337,8,12,76,50,22,20,0,0,0,189,0,18,85,80,53,9,7,0,0,266,9,7,17,13,10,3,0,0,0,48,10,21,87,52,27,22,5,0,0,231,3,20,85,83,47,25,9,0,0,271
POA2558,0,5,0,0,3,4,0,0,0,9,0,0,0,0,3,3,0,0,0,8,14,20,59,78,68,85,19,0,0,335,0,4,5,14,9,8,4,0,0,41,24,70,119,74,69,63,9,0,0,431,0,4,24,39,28,19,8,0,0,115,21,53,49,48,26,33,6,0,0,232,31,25,10,3,7,5,0,0,0,85,4,13,67,67,76,81,17,0,0,326,0,0,3,16,11,6,0,0,0,32,0,7,15,18,21,4,0,0,0,61,0,0,7,13,13,3,0,0,0,38,0,4,24,34,12,15,4,0,0,96,8,8,14,11,17,14,3,0,0,81,0,15,38,58,39,50,11,0,0,214,0,14,23,12,14,20,6,0,0,93,0,15,29,32,18,18,4,0,0,115,3,0,3,5,0,4,0,0,0,23,3,9,28,36,17,19,4,0,0,127,12,15,46,28,41,33,10,0,0,180
POA2559,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,11,22,12,6,4,0,0,51,0,0,0,0,0,0,0,0,0,5,11,7,13,12,4,0,0,0,0,48,0,0,3,5,0,0,0,0,0,18,3,4,9,15,9,0,0,0,0,46,8,0,7,3,0,0,0,0,0,18,0,7,9,15,10,3,0,0,0,49,0,0,0,3,0,0,0,0,0,3,0,3,4,5,5,3,0,0,0,23,0,0,6,0,0,0,0,0,0,10,0,0,5,11,3,0,0,0,0,15,0,4,3,3,0,4,0,0,0,15,0,4,8,6,9,3,0,0,0,20,0,0,0,6,7,6,0,0,0,12,0,0,4,7,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,0,13,6,0,16,9,8,7,0,0,0,43
POA2560,6,4,18,21,13,19,7,0,0,84,0,5,19,30,29,21,4,0,0,93,51,160,431,461,463,411,99,4,0,2081,4,14,56,73,69,60,12,0,0,291,152,361,734,568,397,281,62,4,0,2553,7,44,131,159,168,125,38,6,0,687,128,242,394,358,215,179,50,3,0,1571,268,150,159,120,69,57,22,0,0,849,35,131,383,506,498,421,95,8,0,2083,9,20,71,90,42,32,12,0,0,276,5,31,135,179,109,69,10,0,0,536,0,17,43,61,52,30,11,0,0,218,12,55,254,238,134,95,38,0,0,838,24,56,106,136,106,92,26,4,0,548,10,68,262,286,264,194,54,8,0,1146,16,43,182,165,117,140,61,12,0,729,13,64,316,305,201,138,53,12,0,1101,12,18,37,42,29,19,13,0,0,175,40,85,176,151,119,108,42,9,0,727,58,139,301,273,218,179,39,8,0,1209
POA2563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,15,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
POA2564,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10,17,68,89,98,71,15,0,0,370,0,0,6,12,12,6,0,0,0,36,16,23,67,69,48,40,14,0,0,277,5,8,19,18,28,23,6,0,0,104,24,31,54,42,42,33,13,0,0,248,29,12,21,25,14,3,0,0,0,106,7,23,43,68,105,71,12,0,0,336,0,0,6,16,6,6,0,0,0,44,0,3,28,33,19,5,0,0,0,91,0,5,3,7,8,7,0,0,0,33,4,7,54,64,28,17,3,0,0,181,0,8,23,30,8,9,5,0,0,85,4,4,20,51,40,38,6,0,0,166,4,6,13,29,22,23,11,5,0,92,0,6,38,46,25,22,9,0,0,155,0,3,7,3,3,4,0,0,0,21,0,9,19,19,19,14,8,0,0,93,6,22,51,52,35,32,6,0,0,206
POA2565,0,0,10,0,0,0,0,0,0,17,0,0,4,7,5,7,0,0,0,21,4,40,142,221,164,133,22,0,0,738,0,3,23,21,12,19,0,0,0,78,35,97,239,209,111,101,16,7,0,804,4,19,75,101,66,59,5,0,0,329,42,69,155,207,78,59,10,3,0,628,68,57,73,71,43,33,6,0,0,356,16,44,183,264,187,137,24,4,0,855,0,8,45,74,22,4,0,0,0,160,3,22,119,169,57,39,7,3,0,409,0,6,25,38,21,16,5,5,0,121,6,41,144,216,77,46,21,3,0,550,3,12,50,63,39,33,9,0,0,215,3,13,111,142,114,73,8,6,0,467,5,18,70,84,52,31,11,0,0,270,0,26,134,208,84,47,18,6,0,516,8,10,15,17,3,5,0,0,0,57,10,31,56,52,44,35,3,0,0,235,12,48,117,143,62,60,22,0,0,459
POA2566,0,0,9,4,8,0,0,0,0,13,0,0,7,4,0,0,0,0,0,16,19,39,101,172,163,187,51,4,0,736,0,3,25,18,15,22,3,0,0,84,43,105,210,169,135,124,26,0,0,809,3,21,52,58,61,63,20,0,0,265,48,101,115,125,63,57,21,0,0,537,81,54,36,47,45,15,3,0,0,280,6,43,126,203,210,197,42,0,0,829,0,4,16,42,17,10,0,0,0,95,0,19,50,78,40,17,5,0,0,213,6,3,17,16,11,10,0,0,0,69,0,30,49,115,52,30,14,0,0,296,6,24,42,50,44,30,8,0,0,208,6,22,61,110,112,89,19,0,0,429,3,14,43,51,33,40,14,0,0,194,7,18,85,130,74,61,18,0,0,395,0,7,14,3,11,9,0,0,0,49,11,29,47,54,36,39,14,0,0,234,22,57,88,112,90,69,18,4,0,454
POA2567,6,4,3,6,8,10,5,0,0,47,0,7,6,15,20,11,4,0,0,66,37,68,161,281,355,219,41,0,0,1170,10,9,26,39,50,31,0,0,0,163,200,326,548,538,411,206,38,0,0,2265,15,28,77,109,138,90,21,0,0,483,154,141,154,176,177,137,25,0,0,975,238,105,46,58,47,22,9,0,0,525,15,50,153,233,316,224,67,7,0,1062,5,14,23,33,44,22,0,0,0,134,0,16,51,104,105,47,11,0,0,335,5,19,28,42,51,17,7,0,0,168,5,35,100,127,139,61,16,3,0,480,3,27,43,45,60,41,13,0,0,239,6,41,136,195,241,130,27,0,0,776,18,42,85,91,136,88,22,0,0,485,3,38,88,90,116,59,16,0,0,411,19,19,21,25,20,11,5,0,0,127,36,62,96,109,123,68,18,0,0,500,36,44,128,119,143,70,17,0,0,563
POA2568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7,0,0,3,0,5,5,3,0,0,21,0,0,0,0,3,0,0,0,0,5,13,16,10,9,13,15,3,3,0,73,0,0,0,0,0,0,0,0,0,10,0,0,3,5,6,4,0,0,0,13,4,0,0,0,0,0,0,0,0,9,3,0,0,5,4,0,3,0,0,21,0,0,0,0,0,3,0,0,0,3,0,0,0,0,5,3,3,0,0,9,0,0,0,3,0,4,0,0,0,8,0,3,0,3,5,0,0,0,0,13,0,0,0,0,0,0,0,0,0,5,0,0,5,3,7,4,0,0,0,17,0,5,3,0,0,3,0,0,0,17,0,0,0,5,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,6,0,0,0,11
POA2569,0,0,0,0,0,0,3,0,0,7,0,0,0,3,6,0,0,0,0,9,0,3,3,0,10,15,4,0,0,37,0,0,0,5,5,0,0,0,0,13,7,15,11,18,23,10,8,0,0,94,0,0,4,0,6,0,0,0,0,10,3,3,0,4,4,0,0,0,0,20,3,0,0,0,0,0,0,0,0,3,0,0,0,5,8,10,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,8,0,0,0,3,0,4,0,0,0,4,0,0,0,4,0,3,0,0,0,18,0,6,4,0,0,0,0,0,0,7,0,0,3,5,3,3,0,0,0,21,0,3,0,0,5,7,0,0,0,14,0,0,3,0,7,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,4,4,4,0,5,0,0,0,0,16,0,6,0,5,6,7,0,0,0,24
POA2570,21,24,35,39,53,34,40,13,3,260,0,8,28,46,23,26,7,0,0,131,40,80,300,399,346,213,63,3,0,1445,3,22,78,109,71,33,6,0,0,323,263,431,1168,866,595,320,71,3,0,3726,14,27,145,169,168,101,23,6,0,657,135,181,311,276,164,96,47,3,0,1210,219,75,117,83,42,21,11,0,0,577,17,65,315,433,324,243,67,0,0,1458,3,8,38,71,37,17,3,0,0,180,0,31,105,148,99,40,8,0,0,428,8,21,63,62,55,27,12,3,0,254,6,58,189,264,125,94,56,4,0,790,14,29,103,99,91,54,15,6,0,410,8,50,319,332,235,153,29,0,0,1134,13,35,167,173,150,95,43,3,0,673,10,43,173,194,147,108,37,4,0,705,21,20,47,32,26,9,3,0,0,159,38,66,179,161,116,66,29,0,0,658,50,73,254,215,145,95,35,6,0,869
POA2571,0,0,12,15,12,15,5,0,0,57,0,4,16,25,42,17,0,0,0,101,21,27,66,72,100,100,16,0,0,407,0,5,18,29,16,7,4,0,0,79,86,123,206,214,163,81,20,0,0,887,5,6,25,29,22,25,10,5,0,118,34,32,39,40,40,35,12,4,0,235,62,20,10,8,12,12,0,0,0,123,5,4,51,64,81,72,21,5,0,313,0,0,3,5,8,6,5,0,0,32,0,0,6,11,16,11,4,0,0,46,0,7,10,13,15,10,3,0,0,60,5,9,32,25,32,24,7,0,0,142,0,5,24,14,29,24,8,0,0,103,0,8,23,56,75,48,8,0,0,232,0,9,26,35,43,23,4,0,0,140,4,5,16,22,24,27,10,0,0,108,5,7,9,8,3,3,3,0,0,34,14,16,29,33,31,28,3,0,0,154,14,17,43,36,37,25,8,0,0,177
POA2572,0,8,9,7,8,8,3,0,0,44,0,6,9,16,17,4,0,0,0,52,3,15,36,25,38,29,8,0,0,157,0,0,8,5,6,6,0,0,0,30,31,58,128,64,39,32,7,0,0,351,0,8,7,11,18,10,3,0,0,52,10,12,21,15,16,11,3,0,0,81,15,5,8,0,0,4,0,0,0,35,0,4,13,11,28,18,5,0,0,77,0,0,3,5,0,0,0,0,0,3,0,0,0,0,5,6,3,0,0,15,0,0,6,0,0,4,0,0,0,16,0,4,6,5,16,3,0,0,0,37,0,0,3,4,10,10,0,0,0,31,0,0,16,16,14,23,4,0,0,76,0,6,10,7,4,13,6,0,0,46,0,0,9,4,6,10,5,0,0,41,0,6,7,3,3,0,0,0,0,20,9,6,10,13,15,13,4,0,0,63,8,3,19,7,11,10,3,0,0,63
POA2573,0,3,7,5,4,9,0,0,0,24,0,0,8,18,14,8,0,0,0,49,10,9,43,36,35,27,4,0,0,161,0,0,5,4,8,12,0,0,0,36,35,56,115,66,51,36,10,4,0,371,0,8,9,6,14,6,0,0,0,45,15,14,33,22,21,6,4,0,0,121,14,11,6,6,4,3,0,0,0,47,0,0,18,29,35,22,9,0,0,109,0,0,5,0,3,4,0,0,0,13,0,6,5,5,0,0,0,0,0,14,0,0,4,9,3,3,0,0,0,19,0,5,10,4,11,3,3,4,0,33,3,5,8,9,4,0,5,0,0,28,0,4,17,20,20,15,4,0,0,79,0,0,14,5,9,9,4,0,0,39,0,0,12,7,8,6,0,0,0,33,3,0,0,0,0,0,0,0,0,6,7,3,15,17,13,5,4,0,0,65,4,8,11,16,20,12,3,0,0,78
POA2574,4,6,9,5,7,9,0,0,0,41,0,4,10,15,18,10,0,0,0,47,9,15,34,27,55,37,8,0,0,184,0,0,8,7,6,4,4,0,0,35,39,60,78,70,62,33,10,0,0,357,4,4,12,15,21,17,7,3,0,82,12,11,22,25,16,16,0,0,0,103,29,11,3,0,4,0,4,0,0,51,3,5,19,35,43,34,7,0,0,143,0,3,4,0,8,5,0,0,0,18,0,0,3,0,0,0,0,0,0,10,0,0,5,8,3,5,0,6,0,18,4,3,6,10,13,10,3,0,0,47,0,0,6,6,8,4,0,0,0,33,0,7,5,19,30,18,5,0,0,77,0,0,6,10,12,15,5,0,0,44,0,4,0,13,12,7,3,0,0,32,0,0,0,4,3,0,0,0,0,11,0,5,14,12,18,10,4,0,0,65,10,11,12,16,27,14,3,6,0,88
