POA_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
POA2643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487,404,892,28,28,52,26,0,26,6,0,8,3,0,3,0,0,0,18,13,30,569,441,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,10,3,11,10,0,0,0,0,0,0,0,0,0,0,0,0,43,67,108,53,92,144,7,5,7,671,614,1284
POA2644,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,308,290,602,13,16,35,20,3,23,9,6,9,7,3,13,6,4,6,43,31,69,410,356,766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,105,102,205,33,56,86,10,5,17,555,520,1075
POA2645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,34,59,4,4,6,8,0,8,0,0,0,6,0,6,4,0,4,17,12,25,63,41,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,21,6,5,10,0,0,5,76,62,140
POA2646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1079,909,1991,69,55,126,26,0,25,16,0,16,8,3,16,13,3,15,73,72,145,1288,1051,2331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,12,14,3,19,0,0,0,0,0,0,0,0,5,0,0,5,135,165,299,101,189,292,14,12,27,1546,1418,2971
POA2647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,338,711,14,23,36,7,0,7,0,0,0,4,0,10,9,0,10,16,18,35,428,381,809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,31,52,88,32,70,102,7,5,16,507,518,1021
POA2648,0,0,0,7,0,9,0,0,0,0,0,0,0,0,0,332,254,589,19,21,40,6,0,6,5,3,3,7,0,7,10,0,18,46,36,83,430,315,745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,90,87,178,29,61,89,10,0,13,565,468,1038
POA2649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,9,4,14
POA2650,0,0,0,91,62,152,6,7,13,0,0,0,25,34,56,11109,10031,21140,846,860,1702,166,8,174,111,13,126,94,28,118,59,20,90,392,460,854,12906,11521,24421,0,0,0,0,0,0,0,0,0,6,7,8,0,0,0,0,0,0,6,7,9,0,0,0,0,0,0,5,0,3,14,5,22,3,0,6,20,9,32,120,68,182,146,82,230,0,0,0,0,4,4,8,3,10,13,12,20,1089,1461,2550,954,1738,2687,84,66,148,15184,14871,30058
POA2651,0,0,0,0,7,3,0,0,0,0,0,0,0,5,5,455,431,881,51,33,79,13,0,13,11,0,11,7,0,5,43,13,50,259,103,361,836,586,1426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,4,0,4,8,6,8,9,3,9,0,0,0,0,0,0,0,0,0,0,0,0,33,53,85,53,80,137,7,9,11,940,728,1667
POA2652,0,0,0,3,6,3,0,0,0,0,0,0,0,0,0,759,669,1423,38,31,70,39,8,48,10,0,10,0,0,0,18,8,33,81,46,126,954,760,1721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,13,9,5,15,0,0,0,0,0,0,0,0,0,0,0,0,234,194,423,55,100,157,11,8,19,1263,1065,2334
POA2653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368,305,673,31,13,53,6,0,6,4,0,3,0,0,7,7,10,12,35,38,72,460,365,823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,63,66,130,48,77,126,9,4,14,583,520,1098
POA2655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,183,395,10,10,23,12,0,12,0,0,0,0,0,0,0,0,0,11,5,17,245,201,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,42,32,72,12,34,50,4,0,4,311,275,580
POA2656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,167,323,12,5,16,14,0,14,0,0,0,6,0,3,6,0,6,38,26,71,236,206,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,56,43,101,9,35,41,6,5,4,309,286,589
POA2658,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,197,162,359,5,13,20,8,0,8,0,0,6,0,0,0,4,0,4,13,11,21,233,187,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,51,42,96,20,32,52,3,4,7,309,269,578
POA2659,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,110,101,210,5,0,7,5,0,5,0,0,0,0,0,6,0,0,0,22,13,32,152,117,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,3,0,7,38,37,75,5,17,24,9,0,10,207,178,375
POA2660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,179,398,19,16,29,9,0,13,5,0,7,0,0,0,0,0,0,12,22,33,269,220,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,44,46,86,21,41,67,0,0,6,342,304,645
POA2661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,28,92,0,0,0,0,0,0,0,0,0,3,0,3,84,34,119,25,9,34,185,67,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,15,3,7,14,6,0,6,211,85,290
POA2663,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,741,583,1321,95,60,158,25,0,25,3,0,3,0,0,0,4,0,3,31,36,69,910,692,1597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,0,4,3,3,6,7,3,10,0,0,0,0,0,0,0,0,0,0,0,0,59,76,134,70,109,178,3,3,9,1048,887,1936
POA2665,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,249,192,437,15,12,27,11,0,10,3,0,3,0,0,0,14,0,15,48,36,82,342,238,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,117,99,220,22,42,63,12,8,14,491,391,883
POA2666,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,855,779,1637,56,54,107,33,0,33,5,3,14,12,5,12,7,3,18,75,84,160,1054,929,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,18,14,9,22,0,0,0,0,0,0,5,0,5,5,0,5,130,144,272,102,129,226,4,5,11,1307,1213,2517
POA2668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,19,59,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,10,4,14,51,33,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,19,40,4,0,5,0,0,3,76,54,132
POA2669,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,199,154,355,16,8,19,11,0,15,0,0,0,0,0,0,19,3,20,23,19,44,266,190,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,0,7,0,0,0,0,0,0,3,0,0,3,0,0,102,74,176,14,27,42,3,5,10,398,302,693
POA2671,0,0,0,83,20,105,0,0,0,0,0,0,0,0,0,533,553,1093,77,56,134,22,0,23,4,0,4,7,0,3,12,0,13,60,60,115,799,696,1497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,8,0,4,10,4,15,18,6,18,0,0,0,0,0,0,0,0,0,0,0,0,83,96,179,75,105,179,4,8,21,980,911,1887
POA2672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,171,380,11,19,32,11,0,11,4,0,4,0,0,6,3,0,3,22,29,50,258,222,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,31,23,56,17,27,47,5,0,7,306,285,598
POA2675,0,0,0,18,4,22,0,0,0,0,0,0,0,0,0,308,199,506,36,36,73,16,0,12,0,0,0,0,0,4,7,0,5,33,31,69,419,282,696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,11,8,3,11,0,0,0,0,0,0,0,0,0,4,0,4,45,39,87,21,30,49,0,4,4,490,353,849
POA2678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,75,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,47,74,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,14,55,68,0,0,3,62,139,198
POA2680,0,0,0,5,14,18,4,8,8,0,0,0,16,26,36,5132,4112,9244,511,659,1172,80,0,83,39,10,47,27,9,41,58,21,73,198,151,347,6078,4998,11074,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,3,5,7,0,0,0,0,0,0,4,0,4,0,3,4,0,0,0,4,4,5,43,27,73,47,35,87,0,0,0,0,0,0,0,0,0,0,0,0,288,360,645,279,576,853,47,40,90,6737,6013,12749
POA2681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,328,702,27,20,41,16,0,16,0,0,6,5,0,5,3,0,3,16,12,26,433,362,796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,48,37,83,26,40,67,10,9,20,521,448,971
POA2700,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,710,609,1325,51,57,106,22,0,26,4,0,4,0,0,0,7,3,9,44,65,111,849,739,1589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9,8,7,5,0,0,0,0,0,0,0,0,0,0,0,0,76,91,170,55,108,158,3,7,10,992,949,1943
POA2701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402,370,775,30,28,60,15,0,15,0,0,0,0,0,0,5,0,5,23,36,57,479,432,913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,5,8,0,10,0,0,0,0,0,0,0,0,0,0,0,0,62,78,141,30,68,92,10,7,16,590,579,1171
POA2702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,106,219,16,6,17,0,0,0,0,0,0,0,0,0,3,0,3,10,5,13,141,115,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,17,15,35,7,19,26,4,0,5,178,154,327
POA2703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,95,191,12,12,26,0,0,0,4,0,4,0,0,0,0,0,0,10,7,16,120,116,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,11,4,19,6,14,18,0,0,0,147,138,280
POA2705,3,0,6,3,0,0,0,0,0,0,0,0,3,0,4,1851,1575,3431,143,175,316,44,0,45,14,0,14,24,0,25,20,10,28,99,73,172,2201,1838,4032,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,20,15,36,26,15,43,0,0,0,0,0,0,0,0,4,0,0,4,155,180,332,125,215,340,18,9,35,2532,2255,4786
POA2706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,159,349,14,11,20,9,0,11,0,0,0,0,3,3,0,0,0,11,11,26,226,180,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,18,29,13,14,30,0,3,5,257,217,475
POA2707,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,186,151,338,8,12,21,8,0,8,5,0,6,3,0,3,13,3,12,38,26,58,252,191,446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,4,0,7,0,0,0,0,0,0,4,0,4,4,0,4,66,66,135,16,33,40,4,5,4,345,292,638
POA2710,0,0,0,0,5,4,0,0,0,0,0,0,0,4,4,1454,1414,2863,90,86,175,40,0,43,14,6,20,22,3,24,18,3,26,93,102,195,1734,1622,3351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,12,25,20,13,35,0,0,0,0,0,0,0,0,0,0,0,0,257,218,483,116,219,335,29,17,45,2160,2092,4248
POA2711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,406,913,48,33,79,19,0,24,8,0,10,4,7,11,11,5,17,58,60,122,663,516,1176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,3,3,0,3,92,97,194,25,58,80,12,11,21,796,683,1482
POA2712,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,166,154,322,11,10,23,13,0,10,0,0,0,0,3,6,4,0,4,15,16,33,212,180,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,47,34,84,25,21,46,5,0,6,290,248,541
POA2713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383,336,724,11,25,35,15,0,15,9,0,9,8,6,8,13,0,15,48,44,95,487,404,890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,12,5,5,12,0,0,0,0,0,0,0,0,0,0,0,0,78,82,166,29,54,88,8,6,17,618,559,1169
POA2714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,321,679,9,21,28,16,0,13,3,0,3,0,4,3,6,0,3,28,15,40,421,357,778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,15,11,5,14,0,0,0,0,0,0,4,0,4,4,0,4,60,71,126,32,61,96,7,4,10,531,498,1030
POA2715,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,216,151,368,16,10,26,12,0,8,0,0,0,3,0,4,4,4,3,27,40,70,280,209,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,33,25,57,12,28,42,0,0,3,336,267,598
POA2716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,108,242,15,7,21,12,0,12,0,0,0,5,0,5,4,0,8,20,18,35,188,131,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,31,57,13,24,41,0,0,3,234,193,423
POA2717,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,144,113,258,10,17,20,3,0,3,0,0,0,0,0,0,0,0,0,21,13,33,183,137,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,17,38,8,14,27,6,4,9,217,174,389
POA2720,0,0,0,8,3,14,0,0,0,0,0,0,0,0,4,1417,1175,2585,105,107,219,36,0,36,15,0,15,7,0,6,10,6,19,73,70,140,1667,1367,3035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,9,30,23,9,33,0,0,0,0,0,0,0,0,0,0,0,0,134,167,299,121,250,377,14,5,24,1970,1800,3765
POA2721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,13,31,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,18,19,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,18,11,28,4,3,5,0,0,0,47,34,79
POA2722,0,0,0,5,4,9,0,0,0,0,0,0,0,0,0,533,401,928,50,61,110,28,4,32,3,0,3,0,0,0,8,5,9,30,26,57,652,500,1153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,5,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,79,88,173,44,83,127,8,0,13,803,674,1479
POA2725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,41,87,0,0,0,4,0,4,0,0,0,0,0,0,0,3,3,8,3,7,54,47,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,17,6,12,14,0,0,0,73,68,136
POA2726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,33,65,0,0,0,9,0,9,0,0,0,0,0,0,4,5,3,7,0,3,42,39,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,14,30,4,6,18,0,0,0,67,61,125
POA2727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,38,89,3,0,3,3,0,3,0,0,0,0,0,0,0,0,3,4,5,8,63,42,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,24,26,49,0,4,7,0,0,0,94,78,168
POA2729,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,259,215,475,19,7,19,14,0,15,0,0,5,0,0,0,5,0,8,18,19,42,322,249,569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,10,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,61,63,125,27,47,70,3,6,5,416,366,782
POA2730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,158,358,16,13,31,4,0,4,0,0,0,0,0,0,6,3,9,17,18,35,241,193,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,3,7,3,11,0,0,0,0,0,0,0,0,0,0,0,0,10,27,36,20,22,45,4,0,7,282,252,534
POA2731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1159,1013,2175,66,63,125,25,0,25,13,0,11,16,9,25,6,0,15,38,44,83,1324,1133,2460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,4,12,4,15,11,8,21,0,0,0,0,0,0,0,0,0,0,0,0,151,216,367,124,252,373,22,25,49,1645,1627,3273
POA2732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,219,464,12,17,26,7,0,7,6,0,9,3,0,3,5,0,5,34,24,63,311,267,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,8,9,4,8,0,0,0,0,0,0,0,0,0,0,0,0,73,63,138,32,52,84,6,7,8,429,393,818
POA2733,0,0,0,7,0,13,0,0,0,0,0,0,0,0,0,78,57,131,0,7,7,7,0,7,0,0,0,0,3,3,9,6,9,6,14,16,100,87,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,11,29,8,18,22,0,0,0,127,115,246
POA2734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,83,178,4,6,8,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,101,95,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,24,51,6,11,19,0,0,0,141,126,272
