POA_CODE_2021,M_AgriForestFish_0,M_AgriForestFish_1_19,M_AgriForestFish_20_29,M_AgriForestFish_30_34,M_AgriForestFish_35_39,M_AgriForestFish_40_44,M_AgriForestFish_45_49,M_AgriForestFish_50_over,M_AgriForestFish_hours_NS,M_AgriForestFish_Tot,M_Min_0,M_Min_1_19,M_Min_20_29,M_Min_30_34,M_Min_35_39,M_Min_40_44,M_Min_45_49,M_Min_50_over,M_Min_hours_NS,M_Min_Tot,M_Mnfg_0,M_Mnfg_1_19,M_Mnfg_20_29,M_Mnfg_30_34,M_Mnfg_35_39,M_Mnfg_40_44,M_Mnfg_45_49,M_Mnfg_50_over,M_Mnfg_hours_NS,M_Mnfg_Tot,M_EGW_WS_0,M_EGW_WS_1_19,M_EGW_WS_20_29,M_EGW_WS_30_34,M_EGW_WS_35_39,M_EGW_WS_40_44,M_EGW_WS_45_49,M_EGW_WS_50_over,M_EGW_WS_hours_NS,M_EGW_WS_Tot,M_Cnstn_0,M_Cnstn_1_19,M_Cnstn_20_29,M_Cnstn_30_34,M_Cnstn_35_39,M_Cnstn_40_44,M_Cnstn_45_49,M_Cnstn_50_over,M_Cnstn_hours_NS,M_Cnstn_Tot,M_WTrade_0,M_WTrade_1_19,M_WTrade_20_29,M_WTrade_30_34,M_WTrade_35_39,M_WTrade_40_44,M_WTrade_45_49,M_WTrade_50_over,M_WTrade_hours_NS,M_WTrade_Tot,M_RTrade_0,M_RTrade_1_19,M_RTrade_20_29,M_RTrade_30_34,M_RTrade_35_39,M_RTrade_40_44,M_RTrade_45_49,M_RTrade_50_over,M_RTrade_hours_NS,M_RTrade_Tot,M_AccomFoodS_0,M_AccomFoodS_1_19,M_AccomFoodS_20_29,M_AccomFoodS_30_34,M_AccomFoodS_35_39,M_AccomFoodS_40_44,M_AccomFoodS_45_49,M_AccomFoodS_50_over,M_AccomFoodS_hours_NS,M_AccomFoodS_Tot,M_TransPostWhse_0,M_TransPostWhse_1_19,M_TransPostWhse_20_29,M_TransPostWhse_30_34,M_TransPostWhse_35_39,M_TransPostWhse_40_44,M_TransPostWhse_45_49,M_TransPostWhse_50_over,M_TransPostWhse_hours_NS,M_TransPostWhse_Tot,M_InfoMedTelecom_0,M_InfoMedTelecom_1_19,M_InfoMedTelecom_20_29,M_InfoMedTelecom_30_34,M_InfoMedTelecom_35_39,M_InfoMedTelecom_40_44,M_InfoMedTelecom_45_49,M_InfoMedTelecom_50_over,M_InfoMedTelecom_hours_NS,M_InfoMedTelecom_Tot,M_FinInsurS_0,M_FinInsurS_1_19,M_FinInsurS_20_29,M_FinInsurS_30_34,M_FinInsurS_35_39,M_FinInsurS_40_44,M_FinInsurS_45_49,M_FinInsurS_50_over,M_FinInsurS_hours_NS,M_FinInsurS_Tot,M_RentHirREserv_0,M_RentHirREserv_1_19,M_RentHirREserv_20_29,M_RentHirREserv_30_34,M_RentHirREserv_35_39,M_RentHirREserv_40_44,M_RentHirREserv_45_49,M_RentHirREserv_50_over,M_RentHirREserv_hours_NS,M_RentHirREserv_Tot,M_ProScieTechServ_0,M_ProScieTechServ_1_19,M_ProScieTechServ_20_29,M_ProScieTechServ_30_34,M_ProScieTechServ_35_39,M_ProScieTechServ_40_44,M_ProScieTechServ_45_49,M_ProScieTechServ_50_over,M_ProScieTechServ_hours_NS,M_ProScieTechServ_Tot,M_AdminSupServ_0,M_AdminSupServ_1_19,M_AdminSupServ_20_29,M_AdminSupServ_30_34,M_AdminSupServ_35_39,M_AdminSupServ_40_44,M_AdminSupServ_45_49,M_AdminSupServ_50_over,M_AdminSupServ_hours_NS,M_AdminSupServ_Tot,M_PubAdmiSafety_0,M_PubAdmiSafety_1_19,M_PubAdmiSafety_20_29,M_PubAdmiSafety_30_34,M_PubAdmiSafety_35_39,M_PubAdmiSafety_40_44,M_PubAdmiSafety_45_49,M_PubAdmiSafety_50_over,M_PubAdmiSafety_hours_NS,M_PubAdmiSafety_Tot,M_EducTrain_0,M_EducTrain_1_19,M_EducTrain_20_29,M_EducTrain_30_34,M_EducTrain_35_39,M_EducTrain_40_44,M_EducTrain_44_49,M_EducTrain_50_over,M_EducTrain_hours_NS,M_EducTrain_Tot,M_HealthCareSocA_0,M_HealthCareSocA_1_19,M_HealthCareSocA_20_29,M_HealthCareSocA_30_34,M_HealthCareSocA_35_39,M_HealthCareSocA_40_44,M_HealthCareSocA_45_49,M_HealthCareSocA_50_over,M_HealthCareSocA_hours_NS,M_HealthCareSocA_Tot,M_ArtRecServ_0,M_ArtRecServ_1_19,M_ArtRecServ_20_29,M_ArtRecServ_30_34,M_ArtRecServ_35_39,M_ArtRecServ_40_44,M_ArtRecServ_45_49,M_ArtRecServ_50_over,M_ArtRecServ_hours_NS,M_ArtRecServ_Tot,M_OthServ_0,M_OthServ_1_19,M_OthServ_20_29,M_OthServ_30_34,M_OthServ_35_39,M_OthServ_40_44,M_OthServ_45_49,M_OthServ_50_over,M_OthServ_hours_NS,M_OthServ_Tot,M_ID_NS_0,M_ID_NS_1_19,M_ID_NS_20_29,M_ID_NS_30_34,M_ID_NS_35_39,M_ID_NS_40_44,M_ID_NS_45_49,M_ID_NS_50_over,M_ID_NS_hours_NS,M_ID_NS_Tot
POA2622,8,14,15,15,18,27,12,67,4,169,4,0,0,0,0,5,4,30,0,46,5,3,6,5,6,10,3,3,0,41,0,0,0,0,5,11,3,0,0,19,10,9,14,5,23,54,28,42,4,188,0,0,0,0,0,4,0,3,0,13,0,13,8,0,4,7,4,12,0,50,0,16,7,0,3,3,0,11,0,50,0,4,6,0,6,10,4,14,3,52,0,0,0,0,6,4,0,0,0,6,0,0,0,0,0,3,3,0,0,12,0,0,0,0,0,0,0,0,0,7,0,4,11,4,12,17,5,9,0,59,0,6,0,0,0,0,0,3,0,19,9,0,0,0,39,32,18,12,5,126,0,9,8,6,7,9,6,9,0,57,0,8,0,0,0,3,0,9,0,19,0,6,0,0,0,6,0,4,0,11,0,6,5,0,4,7,0,13,0,30,4,4,5,0,5,9,0,13,10,49
POA2623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,0,0,12,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,15,8,7,3,33,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,5,0,0,0,10,0,5,0,0,0,0,0,0,0,5,0,0,0,0,3,3,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,4,0,0,0,0,4,3,0,0,0,12,6,0,0,0,34,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,3,0,9,0,0,0,0,5,4,0,0,0,12
POA2624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,4,8,6,5,13,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,3
POA2625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,8,4,8,13,3,13,0,55,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,0,4,0,3,0,4,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
POA2626,0,4,0,0,3,0,0,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,3,0,0,0,7,0,6,0,0,10,8,3,4,0,29,0,0,0,0,3,0,0,0,0,3,0,4,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,11,0,0,0,0,0,0,0,4,0,5,0,0,0,0,12,10,0,4,0,30,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,4,11
POA2627,0,3,5,4,5,3,0,19,0,42,0,0,0,0,4,0,0,5,0,10,0,0,0,4,7,5,0,8,0,35,3,0,0,0,19,16,9,12,0,57,11,23,22,29,30,65,22,55,0,256,3,9,0,0,5,7,4,5,0,33,0,19,11,10,12,17,8,14,3,96,10,58,65,26,43,33,42,63,3,339,3,8,10,6,10,8,5,15,0,68,3,0,0,4,0,7,0,4,0,26,0,0,0,0,0,7,0,3,0,13,3,7,3,0,10,10,0,12,0,44,0,3,8,3,11,10,8,17,0,56,0,16,3,4,3,4,5,7,0,39,6,3,3,0,31,21,8,12,0,87,7,9,11,7,14,14,12,12,0,82,0,5,8,0,3,7,0,10,0,32,10,17,26,16,62,47,16,24,0,221,0,5,3,6,5,11,3,10,0,53,5,12,9,5,8,16,6,13,11,86
POA2628,0,6,0,0,9,21,6,42,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,12,0,0,0,0,3,8,6,8,0,27,3,9,12,6,16,36,10,21,0,104,0,0,3,0,0,7,0,3,0,14,0,5,8,3,3,5,0,4,0,25,9,13,10,4,10,15,3,10,0,66,0,0,5,0,4,7,0,5,0,33,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,13,0,0,5,3,10,6,0,4,0,24,0,9,4,3,3,5,0,5,0,24,0,4,0,0,15,3,0,7,0,36,4,0,3,0,3,0,0,3,0,18,0,0,0,0,0,0,0,0,0,7,0,3,0,5,10,0,0,6,0,22,0,0,0,0,0,6,0,4,0,17,0,5,0,0,0,8,4,3,3,23
POA2629,0,0,4,0,3,3,0,12,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,6,0,0,5,0,9,0,0,3,0,3,3,0,5,0,22,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,4,4,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,10,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,6
POA2630,9,11,17,9,20,47,17,101,3,238,0,0,0,0,0,0,0,8,0,16,0,5,3,3,24,10,8,16,0,68,0,3,4,3,47,51,17,38,0,164,13,28,17,26,65,109,33,112,6,411,0,13,3,5,12,5,9,15,0,51,5,33,15,14,43,42,9,27,0,191,3,35,29,12,20,14,4,13,0,135,3,4,13,14,11,36,12,35,0,123,0,0,0,3,5,0,0,3,0,21,0,0,5,0,0,3,0,3,0,8,0,5,0,0,0,3,0,8,0,30,3,7,0,0,15,22,5,26,3,87,0,11,11,4,10,12,4,7,0,52,14,7,4,7,82,61,11,30,0,212,4,13,7,7,17,12,0,11,0,78,9,0,5,12,14,10,3,15,0,72,0,3,0,3,6,3,0,0,0,16,0,3,10,0,17,24,10,18,0,85,0,8,7,4,21,22,4,28,17,104
POA2631,0,3,6,5,7,5,10,18,0,51,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,3,0,18,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,6,0,0,0,14,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
POA2632,5,14,8,8,21,36,19,61,0,177,0,0,0,0,0,0,0,4,0,9,0,0,3,0,15,16,8,15,0,65,0,0,0,0,0,3,0,0,0,5,0,8,6,3,4,14,10,18,3,55,0,0,0,0,0,3,0,0,0,12,4,4,0,0,0,6,3,8,0,25,0,3,4,0,0,0,3,4,0,17,0,4,4,0,0,0,5,13,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,4,0,3,0,22,0,0,0,0,6,0,0,0,0,12,0,0,0,0,0,3,0,0,0,6,0,0,0,0,3,3,0,0,0,8,0,0,0,0,0,3,0,8,0,9,0,0,0,0,5,8,0,12,3,27
POA2633,0,0,4,0,4,10,3,10,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,11
POA2640,0,22,19,17,32,58,12,94,4,256,3,0,0,0,4,11,0,16,0,32,29,43,42,27,264,376,154,201,15,1155,0,6,0,0,32,44,13,20,0,116,37,70,56,64,287,590,178,370,12,1664,4,24,18,7,65,90,35,75,0,317,26,186,76,68,164,146,53,94,12,824,32,183,83,42,95,88,26,58,11,626,30,42,48,30,88,123,42,183,4,581,3,6,0,4,34,31,5,15,0,92,5,3,14,3,30,58,13,35,0,159,0,7,3,4,23,27,9,48,0,126,4,35,41,24,97,114,38,108,0,463,4,49,22,26,46,52,14,20,5,232,46,37,47,14,245,200,57,80,3,726,7,55,55,35,152,116,56,104,7,589,33,62,82,76,184,177,55,96,0,770,3,24,11,12,14,23,7,9,0,98,8,22,20,17,68,119,35,64,5,361,14,34,28,10,85,99,44,67,53,439
POA2641,0,4,0,6,15,14,6,13,0,63,5,0,0,0,0,0,0,6,0,11,8,21,17,15,141,171,69,73,4,527,0,0,0,0,10,15,11,7,0,43,15,26,28,29,148,226,59,113,3,656,4,3,0,6,28,52,11,19,3,126,8,69,46,41,80,62,16,32,3,360,10,72,47,12,41,19,12,24,5,242,13,8,23,16,42,75,23,90,5,306,0,0,0,0,3,13,0,4,0,20,0,0,3,0,10,12,0,4,0,30,0,0,0,0,4,9,0,4,0,26,4,6,10,7,22,30,6,15,0,98,6,28,28,11,27,23,3,14,0,135,8,16,19,10,60,60,20,10,5,202,7,18,10,16,33,30,13,21,0,145,13,29,36,32,61,40,11,23,5,258,3,7,8,0,3,0,0,4,0,27,3,10,19,0,42,42,20,27,3,166,6,11,23,9,46,51,13,18,42,227
POA2642,8,12,14,12,20,61,22,175,0,327,5,0,0,0,0,0,0,0,0,9,3,9,5,5,30,48,10,17,0,133,5,5,0,0,10,13,5,17,0,54,8,14,11,5,41,78,10,60,0,228,0,0,0,0,6,7,5,4,0,29,0,10,7,6,8,10,4,13,0,63,4,25,6,0,5,5,0,12,0,57,5,4,5,0,6,10,8,37,0,86,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,7,0,0,0,9,0,0,0,0,0,3,0,3,0,7,0,7,7,4,7,7,3,13,0,43,0,3,5,0,0,5,0,5,0,18,9,3,5,0,15,22,11,9,0,75,4,10,8,0,15,11,12,9,0,59,0,6,0,5,4,14,0,4,0,35,0,6,0,0,7,0,0,0,0,12,3,3,0,6,4,13,6,17,0,52,0,0,0,4,9,24,0,18,11,70
POA2643,0,10,5,0,15,12,3,22,0,61,0,0,0,0,0,0,0,0,0,4,3,10,5,8,34,35,16,16,0,126,0,0,0,0,0,0,0,0,0,9,5,0,5,4,24,46,12,25,0,125,0,0,0,0,4,9,0,3,0,16,0,10,7,8,11,7,0,5,0,49,0,7,0,0,0,5,0,10,0,23,4,3,6,3,7,14,5,29,4,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,3,3,0,0,8,0,0,0,15,0,0,5,0,4,6,0,0,0,11,3,0,0,0,7,13,0,4,0,35,0,7,3,3,4,0,0,0,0,19,0,0,4,3,4,5,0,0,0,16,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,3,0,4,0,21,9,3,3,0,8,9,3,6,4,45
POA2644,11,18,7,12,12,40,21,91,4,206,0,0,0,0,0,0,0,5,0,5,5,5,3,0,8,9,4,3,0,37,0,0,0,0,5,0,0,3,0,7,6,0,0,3,14,20,3,21,0,68,0,0,0,0,0,11,6,3,0,18,0,6,0,0,0,0,0,0,0,16,0,10,0,0,3,3,0,5,0,24,0,7,0,5,0,8,3,23,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,5,0,0,0,0,0,5,0,5,0,15,0,4,0,5,0,0,0,0,0,13,3,4,0,0,16,11,0,4,0,41,0,4,3,4,0,0,0,3,0,12,0,0,4,3,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,0,4,0,17,0,0,0,0,3,0,0,0,7,25
POA2645,0,0,0,0,3,4,0,13,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,6
POA2646,10,20,6,18,18,83,23,159,0,337,0,0,0,0,0,0,0,3,0,3,18,13,12,13,58,140,26,28,0,303,0,0,0,5,5,6,0,0,0,16,9,7,11,8,32,64,11,32,0,172,0,3,7,3,9,13,0,9,0,38,0,30,8,5,17,15,3,9,0,94,7,27,13,0,12,3,3,10,4,76,8,3,7,4,11,24,3,35,13,111,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,3,6,6,0,8,0,36,0,7,4,3,5,6,0,4,0,35,5,6,0,6,28,25,3,7,0,77,3,10,8,5,8,8,5,6,0,42,4,8,4,7,8,4,0,9,0,36,0,0,0,0,3,4,0,0,0,10,0,5,0,3,11,22,7,14,0,66,3,8,3,0,19,23,9,8,9,77
POA2647,4,0,0,0,3,14,0,28,4,49,0,0,0,0,0,0,0,3,0,3,6,0,0,6,37,24,3,9,0,87,0,0,0,0,4,4,0,4,0,10,4,4,10,4,12,44,20,33,0,126,0,0,0,0,5,4,0,5,0,13,0,8,0,3,6,3,5,7,0,37,5,5,4,0,3,3,0,3,0,30,0,0,6,0,0,5,0,9,0,26,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,11,0,4,0,0,3,5,0,0,0,13,5,5,0,0,7,13,0,3,0,26,0,3,0,0,3,0,0,6,0,15,0,0,0,0,6,5,0,6,0,18,0,0,0,3,0,0,0,0,0,6,3,0,3,0,0,6,4,7,0,25,5,0,0,0,0,3,0,0,5,17
POA2648,5,9,8,8,12,30,16,94,3,180,5,0,0,0,4,6,0,35,0,47,0,4,0,3,5,0,3,7,0,28,0,0,0,0,11,3,4,3,0,21,0,3,4,0,6,19,3,22,0,63,0,0,0,0,4,0,0,5,0,13,0,8,5,0,7,7,0,3,0,28,0,3,3,0,3,8,0,7,0,29,3,0,5,0,8,5,3,9,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,3,0,0,0,0,0,0,0,5,0,3,0,0,0,0,4,0,0,8,0,0,0,0,23,10,3,3,0,35,0,0,0,0,3,0,0,0,0,11,0,0,4,0,0,6,0,3,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,14,0,0,0,0,0,4,0,5,4,21
POA2649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2650,20,62,49,35,81,202,72,307,29,861,3,0,0,0,6,11,4,48,0,81,19,78,29,99,431,360,125,200,12,1355,9,0,14,6,104,101,30,54,3,318,44,63,82,69,464,801,268,479,21,2299,12,28,15,10,96,170,71,147,4,548,41,320,150,70,265,232,95,122,10,1295,22,307,108,40,170,107,30,73,11,875,30,65,53,35,184,168,58,237,10,849,0,18,6,3,54,39,13,13,0,152,9,11,8,9,49,64,21,51,0,220,7,14,7,0,27,35,18,57,0,157,10,50,33,18,135,150,50,132,8,585,5,76,51,35,90,62,25,45,7,404,61,43,45,34,461,362,144,251,12,1408,22,92,55,55,278,211,84,146,4,956,45,71,102,140,346,297,75,144,9,1228,3,28,16,8,24,17,5,17,0,124,16,55,42,35,168,215,60,139,10,734,18,47,32,31,165,178,41,106,133,749
POA2651,0,0,5,3,6,3,0,4,0,20,0,0,0,0,0,0,0,4,0,8,0,0,0,4,36,29,8,7,0,83,0,0,0,0,0,4,0,0,0,10,0,0,5,0,23,19,11,14,0,71,0,0,0,0,0,7,0,0,0,13,0,3,7,3,8,12,0,4,0,40,0,12,4,3,4,4,0,3,0,36,4,3,0,0,14,17,11,17,0,63,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,16,0,0,5,0,5,0,0,0,0,14,4,6,0,5,78,135,81,107,5,414,3,0,0,0,11,3,0,0,0,25,0,0,4,6,9,3,0,3,0,24,0,0,0,0,0,0,0,3,0,4,0,0,3,0,10,18,4,9,0,39,4,0,0,0,15,6,4,8,14,57
POA2652,7,16,16,13,26,87,49,246,6,457,0,0,0,0,0,0,0,7,0,8,3,3,0,0,18,24,0,23,0,77,0,0,0,0,11,3,0,0,0,19,8,7,11,0,22,56,20,47,0,165,0,5,0,0,4,11,7,16,0,36,0,13,8,3,13,10,3,10,0,63,0,15,0,3,0,5,0,5,0,33,0,0,7,4,21,15,5,40,0,95,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,3,0,5,0,15,0,0,0,0,5,6,0,0,0,17,7,7,0,4,24,36,5,9,0,88,0,4,5,3,3,7,4,4,0,30,3,3,0,4,4,5,0,0,0,26,0,0,4,0,0,5,0,0,0,7,0,4,0,0,11,18,3,12,0,48,0,3,3,0,12,13,9,12,15,68
POA2653,12,9,12,9,15,45,10,61,0,164,0,0,0,0,0,3,0,0,0,4,3,3,0,7,27,29,9,14,0,95,0,0,0,0,5,4,0,4,0,16,0,3,0,3,12,17,5,19,3,60,0,3,0,0,0,0,0,0,0,8,0,5,0,0,3,0,0,5,0,18,0,8,0,0,0,0,0,4,0,18,3,0,0,3,0,8,0,16,0,36,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,7,0,11,0,0,3,0,4,0,0,0,0,6,0,0,4,4,21,18,3,4,0,57,0,0,0,0,3,4,0,4,0,14,0,0,0,0,4,3,0,0,0,13,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,7,0,4,0,20,3,3,6,0,8,8,3,13,11,39
POA2655,0,5,5,3,9,13,8,25,6,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,3,0,20,0,0,0,0,3,0,0,0,0,7,0,0,0,0,8,7,3,12,0,36,0,0,0,0,10,4,0,6,0,22,0,3,0,0,4,3,0,3,0,17,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,6,0,12,4,32,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,4,3,0,0,0,11,0,0,0,0,0,0,0,0,0,5,0,0,0,0,13,4,3,0,0,26,0,0,0,0,3,4,0,0,0,12,0,0,0,0,9,5,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,4,0,13,0,0,0,0,3,5,0,4,6,19
POA2656,5,6,7,0,12,30,11,85,0,154,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,0,5,3,0,3,7,0,3,0,21,0,0,0,0,0,0,0,0,0,6,0,0,3,0,3,5,0,3,0,13,0,0,0,0,0,0,0,0,0,8,0,0,3,0,5,3,0,6,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,12,3,3,0,32,0,0,0,0,0,0,0,0,0,3,0,0,5,6,0,0,0,4,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,9,0,0,0,0,0,0,0,0,6,7
