poa_code,postcode,seifa_irsd_score,seifa_irsd_national_rank,seifa_irsd_national_decile,seifa_irsd_national_percentile,seifa_irsd_state_rank,seifa_irsd_state_decile,seifa_irsd_state_percentile,seifa_irsd_minimum_sa1_score,seifa_irsd_maximum_sa1_score,seifa_irsd_population_without_sa1_score_share,seifa_irsad_score,seifa_irsad_national_rank,seifa_irsad_national_decile,seifa_irsad_national_percentile,seifa_irsad_state_rank,seifa_irsad_state_decile,seifa_irsad_state_percentile,seifa_irsad_minimum_sa1_score,seifa_irsad_maximum_sa1_score,seifa_irsad_population_without_sa1_score_share,seifa_ier_score,seifa_ier_national_rank,seifa_ier_national_decile,seifa_ier_national_percentile,seifa_ier_state_rank,seifa_ier_state_decile,seifa_ier_state_percentile,seifa_ier_minimum_sa1_score,seifa_ier_maximum_sa1_score,seifa_ier_population_without_sa1_score_share,seifa_ieo_score,seifa_ieo_national_rank,seifa_ieo_national_decile,seifa_ieo_national_percentile,seifa_ieo_state_rank,seifa_ieo_state_decile,seifa_ieo_state_percentile,seifa_ieo_minimum_sa1_score,seifa_ieo_maximum_sa1_score,seifa_ieo_population_without_sa1_score_share,seifa_population,seifa_state,seifa_caution_low_sa1_representation,seifa_cross_state_boundary,seifa_irsd_excluded,seifa_irsd_national_percentile_scaled,seifa_irsad_excluded,seifa_irsad_national_percentile_scaled,seifa_ier_excluded,seifa_ier_national_percentile_scaled,seifa_ieo_excluded,seifa_ieo_national_percentile_scaled,seifa_score_missing_count,seifa_any_score_available,seifa_all_scores_available,seifa_any_index_excluded,seifa_source_year
POA2460,2460,924.77923762,347,2,14,86,2,15,669.17077064,1056.1229178,0.0433411628,896.83605722,292,2,12,59,1,10,724.62799579,1017.462799,0.0433411628,953.81474981,533,3,21,132,3,22,754.74603767,1090.9399781,0.0433411628,886.10281974,254,1,10,46,1,8,744.26587541,1028.8652798,0.0426976415,31079,NSW,False,False,False,0.14,False,0.12,False,0.21,False,0.1,0,True,True,False,2021
POA2462,2462,925.15923155,352,2,14,89,2,15,887.29010348,1011.5892593,0.0,888.20446898,244,1,10,46,1,8,833.2414635,967.56954653,0.0,956.08459797,561,3,22,136,3,23,896.65077487,1012.7403794,0.0,882.02906997,223,1,9,39,1,7,802.4732994,954.54766689,0.0,2529,NSW,False,False,False,0.14,False,0.1,False,0.22,False,0.09,0,True,True,False,2021
POA2463,2463,963.75569619,736,3,29,186,4,31,852.59038966,1072.5279943,0.0,928.141418,611,3,24,135,3,23,835.04699791,1053.4779191,0.0,995.99798929,1212,5,47,300,5,50,877.86118329,1102.1242113,0.0,918.29975601,619,3,24,130,3,22,826.07262388,1053.9297528,0.0,8304,NSW,False,False,False,0.29,False,0.24,False,0.47,False,0.24,0,True,True,False,2021
POA2464,2464,997.72061159,1240,5,48,305,6,51,917.63064728,1104.4100815,0.0077925758,964.80341061,1127,5,43,252,5,42,889.02605755,1053.4779191,0.0077925758,980.20660594,933,4,36,221,4,37,912.53688237,1098.9710476,0.0077925758,959.13359531,1168,5,45,260,5,43,854.11324474,1084.7336778,0.0077925758,7058,NSW,False,False,False,0.48,False,0.43,False,0.36,False,0.45,0,True,True,False,2021
POA2465,2465,904.31168401,244,1,10,62,2,11,904.31168401,904.31168401,0.0,882.94734927,204,1,8,34,1,6,882.94734927,882.94734927,0.0,934.29897489,317,2,13,72,2,12,934.29897489,934.29897489,0.0,885.70995286,249,1,10,43,1,8,885.70995286,885.70995286,0.0,346,NSW,False,False,False,0.1,False,0.08,False,0.13,False,0.1,0,True,True,False,2021
POA2466,2466,902.57818402,234,1,9,58,1,10,847.16249409,951.12175876,0.0,874.80292102,163,1,7,26,1,5,836.64643474,931.46702094,0.0,912.58949678,191,1,8,38,1,7,878.86547368,983.69798955,0.0,858.67177893,98,1,4,15,1,3,792.27313221,1004.517272,0.0,1765,NSW,False,False,False,0.09,False,0.07,False,0.08,False,0.04,0,True,True,False,2021
POA2469,2469,892.93783656,199,1,8,45,1,8,770.75147151,1008.3442814,0.0316586373,876.92209655,178,1,7,29,1,5,787.25366703,987.15472299,0.0316586373,941.67823124,391,2,15,92,2,16,844.91069482,1070.4064505,0.0316586373,895.0652368,337,2,13,60,1,10,812.6842799,1004.517272,0.0316586373,4359,NSW,False,False,False,0.08,False,0.07,False,0.15,False,0.13,0,True,True,False,2021
POA2470,2470,911.18272467,283,2,11,69,2,12,551.09093176,1063.6334948,0.0,878.48760976,184,1,8,31,1,6,650.49209083,1009.3457675,0.0,956.28994941,564,3,22,137,3,23,708.15371909,1104.6947644,0.0,854.08398653,79,1,4,11,1,2,678.78080342,955.17676796,0.0,15477,NSW,False,False,False,0.11,False,0.08,False,0.22,False,0.04,0,True,True,False,2021
POA2471,2471,954.58994087,630,3,25,155,3,26,868.88515401,1036.1210303,0.0,922.50745975,542,3,21,119,2,20,848.70416888,995.35451814,0.0,1005.6558976,1371,6,53,349,6,58,909.0908754,1073.5239495,0.0,896.92404394,361,2,14,67,2,12,788.53983712,971.9078807,0.0,2821,NSW,False,False,False,0.25,False,0.21,False,0.53,False,0.14,0,True,True,False,2021
POA2472,2472,943.39112155,510,2,20,125,3,21,902.25974868,996.40679267,0.0,907.93655219,392,2,15,82,2,14,867.58708429,962.20768911,0.0,976.38063717,867,4,34,210,4,35,932.26880462,1036.1942439,0.0,900.61263824,407,2,16,78,2,13,863.35311053,1004.517272,0.0,1987,NSW,False,False,False,0.2,False,0.15,False,0.34,False,0.16,0,True,True,False,2021
POA2473,2473,958.7596705,672,3,26,166,3,28,908.81474707,1011.2853549,0.0046831096,931.11057098,651,3,25,149,3,25,880.30800463,998.51695619,0.0046831096,941.24387735,385,2,15,88,2,15,852.23754606,1036.1942439,0.0046831096,927.23236254,746,3,29,160,3,27,876.50609349,999.99557705,0.0046831096,3203,NSW,False,False,False,0.26,False,0.25,False,0.15,False,0.29,0,True,True,False,2021
POA2474,2474,925.01141913,351,2,14,88,2,15,786.19703841,1029.0237494,0.0,908.08898873,394,2,16,83,2,14,780.40411064,986.08247085,0.0,950.51242687,489,2,19,121,2,20,859.11610863,1057.4696607,0.0,933.39127074,825,4,32,185,4,31,830.85858376,1032.1230443,0.0,6492,NSW,False,False,False,0.14,False,0.16,False,0.19,False,0.32,0,True,True,False,2021
POA2475,2475,873.30306847,143,1,6,31,1,6,789.80360956,1005.068458,0.0,856.81592775,102,1,4,16,1,3,776.09629684,973.93451861,0.0,911.73899762,183,1,7,36,1,6,843.7126128,1057.4696607,0.0,877.36563334,194,1,8,32,1,6,793.42453674,987.36490264,0.0,399,NSW,False,False,False,0.06,False,0.04,False,0.07,False,0.08,0,True,True,False,2021
POA2476,2476,952.66739007,604,3,24,150,3,25,919.75434932,1005.068458,0.106257379,927.64259216,604,3,24,134,3,23,889.47512427,973.93451861,0.106257379,964.09081429,671,3,26,159,3,27,919.96389355,1057.4696607,0.106257379,911.1240293,533,3,21,108,2,18,567.5199634,987.36490264,0.0,847,NSW,False,False,False,0.24,False,0.24,False,0.26,False,0.21,0,True,True,False,2021
POA2477,2477,1015.8035801,1531,6,59,370,7,61,406.15628401,1109.6991325,0.0,988.32792349,1456,6,56,320,6,53,664.10068057,1087.4785487,0.0,1018.8017015,1600,7,61,397,7,66,601.55451274,1144.5436876,0.0,983.34568252,1473,6,57,322,6,53,894.5748969,1078.8645686,0.0,12899,NSW,False,False,False,0.59,False,0.56,False,0.61,False,0.57,0,True,True,False,2021
POA2478,2478,1012.7971591,1489,6,57,356,6,59,719.81178588,1132.7719176,0.0004055783,995.93594342,1562,6,60,331,6,55,752.93790915,1138.2720455,0.0004055783,1005.365541,1365,6,53,346,6,58,755.97061479,1174.9005814,0.0004055783,990.50102359,1550,6,59,333,6,55,778.76587563,1139.3373523,0.0004055783,32053,NSW,False,False,False,0.57,False,0.6,False,0.53,False,0.59,0,True,True,False,2021
POA2479,2479,1070.7771413,2283,9,87,504,9,84,1048.1992817,1091.2589641,0.0,1080.2164821,2294,9,88,474,8,79,1047.2251732,1144.959558,0.0,1080.0049579,2347,9,90,525,9,87,1066.4807597,1173.0355868,0.0,1093.2885703,2317,9,89,497,9,82,1028.8472548,1197.9695417,0.0,5780,NSW,False,False,False,0.87,False,0.88,False,0.9,False,0.89,0,True,True,False,2021
POA2480,2480,968.28436263,806,4,31,201,4,34,615.71587725,1109.6991325,0.0001959162,948.3068119,884,4,34,211,4,35,693.64583442,1080.2364294,0.0001959162,971.77936174,785,3,30,181,3,30,702.41180706,1173.4776129,0.0001959162,962.40491467,1213,5,47,271,5,45,762.32240492,1098.2086708,0.0001959162,45938,NSW,False,False,False,0.31,False,0.34,False,0.3,False,0.47,0,True,True,False,2021
POA2481,2481,1029.2896162,1731,7,66,411,7,68,930.81042983,1093.6457848,0.0,1047.4949312,2074,8,80,426,8,71,961.68315939,1102.3089622,0.0,1003.4233787,1334,6,51,332,6,55,860.71405743,1112.5078895,0.0,1061.8272091,2144,9,82,447,8,74,955.97491834,1122.4359574,0.0,13659,NSW,False,False,False,0.66,False,0.8,False,0.51,False,0.82,0,True,True,False,2021
POA2482,2482,990.3490591,1125,5,43,277,5,46,901.33080901,1043.5767785,0.0,988.51160886,1458,6,56,321,6,53,910.7687218,1048.3261803,0.0,986.58671934,1057,5,41,259,5,43,878.45704658,1092.5948267,0.0,1030.4392141,1938,8,74,398,7,66,974.03364555,1097.8755159,0.0,6967,NSW,False,False,False,0.43,False,0.56,False,0.41,False,0.74,0,True,True,False,2021
POA2483,2483,1000.1725545,1277,5,49,311,6,52,870.70789316,1088.111954,0.0010330579,991.64484117,1500,6,58,325,6,54,876.18225691,1073.0873931,0.0010330579,999.63547399,1279,5,49,318,6,53,888.68215042,1108.3953444,0.0010330579,1015.0144211,1797,7,69,378,7,63,930.62804592,1084.6380764,0.0010330579,11616,NSW,False,False,False,0.49,False,0.58,False,0.49,False,0.69,0,True,True,False,2021
POA2484,2484,967.08671933,782,3,30,195,4,33,825.87293613,1063.7206487,0.0007469004,945.39261718,851,4,33,200,4,33,841.06452231,1030.4640268,0.0007469004,987.95465437,1076,5,41,265,5,44,853.12230565,1117.435266,0.0007469004,954.43337117,1111,5,43,248,5,41,859.14234851,1049.8439139,0.0007469004,20083,NSW,False,False,False,0.3,False,0.33,False,0.41,False,0.43,0,True,True,False,2021
POA2485,2485,958.58073711,669,3,26,164,3,28,776.69807768,1063.3837089,0.0010424132,936.14326717,723,3,28,169,3,28,794.30564616,1037.1774261,0.0010424132,936.89488507,349,2,14,80,2,14,791.49868824,1094.824556,0.0010424132,937.35043789,881,4,34,202,4,34,778.41817863,1022.320096,0.0010424132,15349,NSW,False,False,False,0.26,False,0.28,False,0.14,False,0.34,0,True,True,False,2021
POA2486,2486,984.99241754,1033,4,40,256,5,43,819.2467857,1080.3123397,0.0,955.57401924,994,4,38,234,4,39,816.54411008,1068.1087755,0.0,997.3132092,1229,5,47,303,5,50,795.43364654,1129.8805559,0.0,937.76517252,883,4,34,203,4,34,823.43476301,1035.7530632,0.0,32838,NSW,False,False,False,0.4,False,0.38,False,0.47,False,0.34,0,True,True,False,2021
POA2487,2487,1029.0401909,1725,7,66,410,7,68,767.64903583,1148.8090499,0.0,1024.1729382,1868,8,72,387,7,64,765.26027895,1138.3172306,0.0,1027.7241174,1736,7,67,416,7,69,860.7345299,1188.552455,0.0,1015.5085081,1805,7,69,379,7,63,753.45325223,1124.2369993,0.0,15090,NSW,False,False,False,0.66,False,0.72,False,0.67,False,0.69,0,True,True,False,2021
POA2488,2488,1015.6517585,1528,6,59,368,7,61,983.72420775,1042.3053978,0.0,996.86675091,1573,6,60,334,6,56,973.81085653,1019.5627265,0.0,1005.2342052,1363,6,52,345,6,57,968.87368175,1043.8171429,0.0,995.39553072,1599,7,61,344,6,57,970.9892556,1040.9911564,0.0,3523,NSW,False,False,False,0.59,False,0.6,False,0.52,False,0.61,0,True,True,False,2021
POA2489,2489,1023.8287505,1640,7,63,398,7,66,868.45058924,1123.6312336,0.000506714,1003.5154633,1653,7,63,349,6,58,843.57892035,1095.7577335,0.000506714,1037.3276315,1869,8,72,443,8,73,896.00902619,1153.2959684,0.000506714,993.33234661,1574,6,60,339,6,56,742.46746962,1105.7932966,0.000506714,7894,NSW,False,False,False,0.63,False,0.63,False,0.72,False,0.6,0,True,True,False,2021
POA2490,2490,1036.4758896,1833,7,70,424,7,70,1014.2851875,1041.3795096,0.0,1001.5070958,1631,7,63,344,6,57,991.91012393,1017.3900278,0.0,1069.7139761,2265,9,87,510,9,85,1046.5171157,1079.5731331,0.0,971.61241222,1325,6,51,293,5,49,961.9613235,1002.8913736,0.0,690,NSW,False,False,False,0.7,False,0.63,False,0.87,False,0.51,0,True,True,False,2021
POA2500,2500,1006.2738149,1376,6,53,330,6,55,797.83535389,1149.1118508,0.0056013066,1025.6241747,1892,8,73,392,7,65,888.21687893,1167.5715712,0.0056013066,932.58741769,304,2,12,66,2,11,719.83878182,1190.2542493,0.0056013066,1060.5159317,2137,9,82,443,8,73,958.78763618,1165.4088627,0.0056013066,43472,NSW,False,False,False,0.53,False,0.73,False,0.12,False,0.82,0,True,True,False,2021
POA2502,2502,850.53113835,96,1,4,21,1,4,498.55389684,1033.9876814,0.0031670783,864.61549723,118,1,5,20,1,4,592.26131263,1023.6769676,0.0031670783,899.64917746,146,1,6,30,1,5,619.49145421,1102.8762203,0.0031670783,874.86269597,177,1,7,28,1,5,660.69203377,979.87495896,0.0019719544,12551,NSW,False,False,False,0.04,False,0.05,False,0.06,False,0.07,0,True,True,False,2021
POA2505,2505,930.47720741,387,2,15,96,2,16,560.18518587,1057.2688408,0.0009827044,932.98661009,680,3,26,155,3,26,659.52012749,1041.4218208,0.0009827044,944.42946286,427,2,17,101,2,17,631.27103045,1050.1304914,0.0009827044,925.65175454,721,3,28,154,3,26,721.78056104,1032.9294191,0.0009827044,5088,NSW,False,False,False,0.15,False,0.26,False,0.17,False,0.28,0,True,True,False,2021
POA2506,2506,885.11040879,168,1,7,38,1,7,736.64417478,1033.9876814,0.0015709156,877.01327176,179,1,7,30,1,5,756.90148197,1023.6769676,0.0015709156,920.25459448,228,1,9,45,1,8,739.12768763,1102.8762203,0.0015709156,872.76264856,162,1,7,25,1,5,814.37310202,961.98938169,0.0015709156,7798,NSW,False,False,False,0.07,False,0.07,False,0.09,False,0.07,0,True,True,False,2021
POA2508,2508,1087.3568934,2444,10,94,535,9,89,998.84377515,1125.2486056,0.0040659105,1084.5566765,2322,9,89,482,8,80,978.76818822,1148.9914045,0.0040659105,1103.9777318,2512,10,96,561,10,93,1002.1082025,1174.1460712,0.0040659105,1052.2106003,2077,8,80,431,8,71,954.75060566,1190.3798384,0.0040659105,9346,NSW,False,False,False,0.94,False,0.89,False,0.96,False,0.8,0,True,True,False,2021
POA2515,2515,1095.5582186,2500,10,96,554,10,92,1029.9645911,1130.5916073,0.0,1113.2638399,2463,10,94,517,9,86,1046.0978999,1153.0432539,0.0,1088.6287456,2424,10,93,537,9,89,960.41499676,1165.9517641,0.0,1115.3118873,2412,10,92,527,9,87,1053.4320006,1169.5670437,0.0,11745,NSW,False,False,False,0.96,False,0.94,False,0.93,False,0.92,0,True,True,False,2021
POA2516,2516,1059.9713535,2150,9,82,475,8,79,968.61773571,1113.5614839,0.000564872,1073.9094237,2261,9,87,469,8,78,987.05191951,1130.5573329,0.000564872,1065.0513225,2224,9,85,504,9,84,930.80788562,1122.421347,0.000564872,1072.6345851,2200,9,84,467,8,77,1006.6847586,1189.5941309,0.0,6798,NSW,False,False,False,0.82,False,0.87,False,0.85,False,0.84,0,True,True,False,2021
POA2517,2517,1027.8282648,1704,7,65,406,7,67,785.04652829,1122.5518492,0.0014442295,1026.0165991,1897,8,73,393,7,65,825.53593627,1132.813825,0.0014442295,1017.71787,1580,7,61,389,7,65,770.6617773,1168.6554418,0.0014442295,1030.7600201,1942,8,74,400,7,66,916.7066183,1189.5941309,0.0,13959,NSW,False,False,False,0.65,False,0.73,False,0.61,False,0.74,0,True,True,False,2021
POA2518,2518,967.81137501,796,4,31,198,4,33,556.0537753,1095.6887758,0.0003523963,969.55150142,1191,5,46,270,5,45,650.94705953,1088.0428203,0.0003523963,953.37763328,527,3,21,129,3,22,659.37547019,1128.5677419,0.0003523963,978.96774723,1420,6,55,312,6,52,744.06245755,1062.5957213,0.0003523963,19864,NSW,False,False,False,0.31,False,0.46,False,0.21,False,0.55,0,True,True,False,2021
POA2519,2519,1011.5500766,1468,6,56,350,6,58,849.93768636,1129.6618664,0.0,1018.3324349,1816,7,70,375,7,62,872.67569959,1145.198337,0.0,995.99705932,1211,5,47,299,5,50,827.15676945,1140.7635679,0.0,1029.8446714,1932,8,74,397,7,66,891.43032153,1155.8789014,0.0,17227,NSW,False,False,False,0.56,False,0.7,False,0.47,False,0.74,0,True,True,False,2021
POA2525,2525,1054.1360883,2062,8,79,461,8,76,764.05068665,1132.6752458,0.0007296311,1049.8314292,2094,8,80,430,8,71,740.62544906,1165.6805327,0.0007296311,1056.2359504,2133,9,82,489,9,81,809.91654514,1205.3442184,0.0007296311,1035.7608318,1976,8,76,408,7,68,721.33358218,1113.7909334,0.0007296311,12335,NSW,False,False,False,0.79,False,0.8,False,0.82,False,0.76,0,True,True,False,2021
POA2526,2526,1015.7468876,1529,6,59,369,7,61,694.31870771,1144.3188197,0.0018522945,1007.215009,1702,7,65,357,6,59,718.24734109,1132.0229425,0.0018522945,1033.6006347,1817,7,70,431,8,72,759.94626251,1171.9179766,0.0018522945,991.05095513,1554,6,60,334,6,55,755.41850282,1149.5450641,0.0007767686,16736,NSW,False,False,False,0.59,False,0.65,False,0.7,False,0.6,0,True,True,False,2021
POA2527,2527,1005.1899941,1354,6,52,325,6,54,779.01651466,1095.9695266,0.0001534213,973.68362892,1250,5,48,283,5,47,792.18164199,1077.9619324,0.0001534213,1045.4082547,1989,8,76,458,8,76,844.34469561,1152.1763783,0.0001534213,928.36529602,762,3,29,164,3,27,823.74965543,1070.11836,0.0001534213,26072,NSW,False,False,False,0.52,False,0.48,False,0.76,False,0.29,0,True,True,False,2021
POA2528,2528,904.01589901,242,1,10,61,2,11,592.57144528,1062.796313,0.0,888.60867379,245,1,10,47,1,8,673.18342443,1056.7233871,0.0,934.53716839,320,2,13,73,2,13,696.15092361,1082.7901375,0.0,873.17547265,166,1,7,26,1,5,702.83889858,1013.7496734,0.0,23735,NSW,False,False,False,0.1,False,0.1,False,0.13,False,0.07,0,True,True,False,2021
POA2529,2529,1022.7589579,1621,7,62,395,7,66,833.29100337,1121.0091778,0.0007208073,1006.1065192,1688,7,65,353,6,59,855.40475269,1145.7600426,0.0007208073,1046.2395995,1999,8,77,461,8,76,864.36187083,1154.9105646,0.0,965.93783187,1254,5,48,278,5,46,880.02283518,1104.6547294,0.0,29134,NSW,False,False,False,0.62,False,0.65,False,0.77,False,0.48,0,True,True,False,2021
POA2530,2530,993.10411745,1176,5,45,288,5,48,786.70970256,1108.8396508,0.0063359781,965.07037195,1129,5,44,253,5,42,792.13684665,1112.0767358,0.0063359781,1018.9921171,1604,7,62,398,7,66,790.79914261,1207.5962852,0.0,924.6778185,701,3,27,150,3,25,802.76785006,1033.5279555,0.0063359781,35038,NSW,False,False,False,0.45,False,0.44,False,0.62,False,0.27,0,True,True,False,2021
POA2533,2533,1068.024344,2252,9,86,494,9,82,931.75217102,1135.5482708,0.0004657391,1059.1229159,2166,9,83,448,8,74,952.89671057,1127.1437556,0.0004657391,1062.135216,2188,9,84,499,9,83,882.16606992,1180.5995276,0.0004657391,1056.4447127,2109,9,81,440,8,73,934.7957673,1124.9485154,0.0004657391,17177,NSW,False,False,False,0.86,False,0.83,False,0.84,False,0.81,0,True,True,False,2021
POA2534,2534,1075.9337173,2340,9,90,512,9,85,958.90751871,1129.1892798,0.0,1067.7619175,2221,9,85,463,8,77,967.12591629,1111.9614574,0.0,1062.4438485,2194,9,84,500,9,83,908.76748112,1128.3142263,0.0,1063.0255138,2151,9,82,450,8,75,996.06520844,1102.9567872,0.0,5767,NSW,False,False,False,0.9,False,0.85,False,0.84,False,0.82,0,True,True,False,2021
POA2535,2535,1044.9568077,1935,8,74,439,8,73,853.69025968,1150.0764946,0.0,1026.5351903,1903,8,73,394,7,65,808.41130596,1172.866456,0.0,1039.070712,1892,8,73,446,8,74,893.39268777,1137.7794215,0.0,1026.4662061,1903,8,73,392,7,65,805.58016875,1243.140677,0.0,7993,NSW,False,False,False,0.74,False,0.73,False,0.73,False,0.73,0,True,True,False,2021
POA2536,2536,970.21677717,829,4,32,207,4,35,826.22909827,1080.0840997,0.0,933.5516213,688,3,27,156,3,26,814.1545293,1050.8340471,0.0,975.2664371,842,4,33,202,4,34,797.26497629,1109.5814421,0.0,922.53958446,675,3,26,142,3,24,824.87732761,1082.3751092,0.0,19333,NSW,False,False,False,0.32,False,0.27,False,0.33,False,0.26,0,True,True,False,2021
POA2537,2537,1006.2375344,1375,6,53,329,6,55,881.94606479,1127.872727,0.0,965.42902133,1133,5,44,257,5,43,854.57990801,1102.2191895,0.0,998.41748633,1251,5,48,311,6,52,880.32195865,1065.1007382,0.0,965.16156147,1248,5,48,277,5,46,851.57416472,1137.4040245,0.0,12981,NSW,False,False,False,0.53,False,0.44,False,0.48,False,0.48,0,True,True,False,2021
POA2538,2538,1042.6018157,1904,8,73,433,8,72,1002.8109394,1093.1367115,0.0081395349,1005.3174587,1678,7,64,351,6,58,982.66597492,1085.4497742,0.0081395349,1039.7790942,1902,8,73,447,8,74,998.01407955,1113.7817892,0.0081395349,997.53894431,1623,7,62,345,6,57,737.92774333,1071.8664017,0.0,2580,NSW,False,False,False,0.73,False,0.64,False,0.73,False,0.62,0,True,True,False,2021
POA2539,2539,992.44407633,1162,5,45,284,5,47,852.76272172,1097.8612542,0.0,950.72555042,921,4,36,216,4,36,840.48282429,1085.4497742,0.0,993.24121352,1167,5,45,290,5,48,854.2469004,1113.7817892,0.0,935.89305478,860,4,33,194,4,32,842.51426597,1088.2721891,0.0,20305,NSW,False,False,False,0.45,False,0.36,False,0.45,False,0.33,0,True,True,False,2021
POA2540,2540,989.13862631,1099,5,42,,,,745.88551652,1123.6313895,0.022831334,954.30482609,967,4,37,,,,783.2400382,1149.5412522,0.022831334,1005.2369235,1364,6,52,,,,716.74374337,1160.6176875,0.022831334,935.8835652,859,4,33,,,,807.87575276,1251.6361723,0.0226034351,48267,Cross Border,False,True,False,0.42,False,0.37,False,0.52,False,0.33,0,True,True,False,2021
POA2541,2541,923.5891009,338,2,13,84,2,14,542.95047096,1141.8985511,0.0011769741,904.26070485,364,2,14,78,2,13,610.53750162,1140.6097742,0.0011769741,942.27092502,396,2,16,95,2,16,669.98423047,1272.7178097,0.0011769741,908.97158154,508,2,20,101,2,17,535.06894928,1064.0561225,0.0,28038,NSW,False,False,False,0.13,False,0.14,False,0.16,False,0.2,0,True,True,False,2021
POA2545,2545,987.10420258,1071,5,41,265,5,44,904.69872588,1028.7020838,0.0,956.00728562,998,4,39,236,4,39,873.59403092,1004.1650393,0.0,1000.2081973,1286,5,49,320,6,53,915.38803609,1042.4361998,0.0,954.5316446,1112,5,43,249,5,41,842.85872817,1060.418558,0.0,1117,NSW,False,False,False,0.41,False,0.39,False,0.49,False,0.43,0,True,True,False,2021
POA2546,2546,986.27256016,1056,5,41,261,5,43,782.3628612,1137.4009668,0.0,946.33522983,859,4,33,201,4,34,835.1251853,1083.3024426,0.0,975.92030921,857,4,33,204,4,34,764.08736887,1077.8316325,0.0,953.74144867,1105,5,43,246,5,41,756.19925724,1073.4677146,0.0,10066,NSW,False,False,False,0.41,False,0.33,False,0.33,False,0.43,0,True,True,False,2021
POA2548,2548,1012.3344464,1482,6,57,355,6,59,907.22791133,1085.8096795,0.0,973.52090398,1248,5,48,282,5,47,885.03856937,1053.9683457,0.0,991.19533077,1130,5,44,277,5,46,862.27520938,1082.1602812,0.0,966.64763048,1268,5,49,281,5,47,907.82001444,1031.2496307,0.0,8419,NSW,False,False,False,0.57,False,0.48,False,0.44,False,0.49,0,True,True,False,2021
POA2549,2549,1013.8950438,1503,6,58,361,6,60,928.39370891,1066.6949813,0.0,964.55517307,1121,5,43,251,5,42,875.9784991,1031.4134254,0.0,1018.7874617,1599,7,61,396,7,66,928.93563784,1101.8921368,0.0,943.10889207,948,4,37,211,4,35,853.11783214,1043.5040495,0.0,4101,NSW,False,False,False,0.58,False,0.43,False,0.61,False,0.37,0,True,True,False,2021
POA2550,2550,981.31105198,976,4,38,239,4,40,810.84714785,1102.638576,0.0003542749,946.97796698,868,4,34,205,4,34,828.18162143,1062.4695517,0.0003542749,988.96850587,1094,5,42,269,5,45,836.53912624,1071.4914072,0.0003542749,950.61422854,1050,4,40,229,4,38,810.36130455,1137.5686456,0.0003542749,16936,NSW,False,False,False,0.38,False,0.34,False,0.42,False,0.4,0,True,True,False,2021
POA2551,2551,912.94891859,290,2,12,72,2,12,753.1091178,1009.5692713,0.0010758472,882.37898649,198,1,8,33,1,6,759.31419076,975.10217598,0.0010758472,935.26075324,324,2,13,77,2,13,838.1929157,1061.0764199,0.0010758472,862.26880136,110,1,5,17,1,3,769.42992779,938.06413713,0.0010758472,3718,NSW,False,False,False,0.12,False,0.08,False,0.13,False,0.05,0,True,True,False,2021
POA2555,2555,949.21064104,561,3,22,138,3,23,944.62569088,1021.8924274,0.0,988.30438708,1455,6,56,319,6,53,987.13113757,1006.9030344,0.0,1033.407681,1815,7,70,429,8,71,1031.2155045,1068.1586157,0.0,1014.6252112,1791,7,69,375,7,62,948.98227303,1018.7661331,0.0,168,NSW,False,False,False,0.22,False,0.56,False,0.7,False,0.69,0,True,True,False,2021
POA2556,2556,1017.0598341,1547,6,59,377,7,63,937.80021647,1103.8379843,0.0,999.33224902,1609,7,62,339,6,56,935.4845251,1084.1914098,0.0,1074.7232952,2308,9,88,519,9,86,1022.6122621,1127.5690343,0.0,934.03424011,837,4,32,187,4,31,909.58826428,1006.9125853,0.0,2433,NSW,False,False,False,0.59,False,0.62,False,0.88,False,0.32,0,True,True,False,2021
POA2557,2557,1043.2717595,1912,8,73,435,8,72,896.24690592,1130.5047844,0.0,1063.2115035,2194,9,84,453,8,75,936.85120673,1156.6097277,0.0,1105.9758049,2526,10,97,564,10,93,962.05865858,1206.532044,0.0,1012.783228,1778,7,68,371,7,62,893.78410335,1087.5150494,0.0,20103,NSW,False,False,False,0.73,False,0.84,False,0.97,False,0.68,0,True,True,False,2021
POA2558,2558,973.86239926,873,4,34,218,4,36,837.99397523,1110.6376746,0.0,953.90571245,957,4,37,225,4,38,861.522573,1112.4743847,0.0,1018.0977633,1589,7,61,392,7,65,890.27816052,1138.9824554,0.0,927.73491426,753,3,29,163,3,27,833.91156945,980.76002094,0.0,11099,NSW,False,False,False,0.34,False,0.37,False,0.61,False,0.29,0,True,True,False,2021
POA2559,2559,710.6700926,17,1,1,2,1,1,462.82947231,1110.6376746,0.0,783.39530754,17,1,1,2,1,1,593.46676507,1112.4743847,0.0,807.10706937,39,1,2,6,1,1,557.69392567,1138.9824554,0.0,850.55566569,66,1,3,8,1,2,704.69510923,1002.5046772,0.0,2991,NSW,False,False,False,0.01,False,0.01,False,0.02,False,0.03,0,True,True,False,2021
POA2560,2560,940.64565517,490,2,19,118,2,20,302.76667058,1116.706369,0.0005754576,939.09555513,768,3,30,179,3,30,486.50373053,1117.3753665,0.0005754576,973.67238804,819,4,32,194,4,32,511.19619175,1168.3392323,0.0005754576,933.52610431,828,4,32,186,4,31,651.05417057,1130.3711475,0.0005754576,82543,NSW,False,False,False,0.19,False,0.3,False,0.32,False,0.32,0,True,True,False,2021
