postcode,ato_income_year,ato_table8_state,ato_table8_individual_count,ato_official_median_taxable_income,ato_official_average_taxable_income,ato_table8_available
2829,2021-22,NSW,1678,44428,66223,True
2830,2021-22,NSW,26521,54042,63823,True
2831,2021-22,NSW,1221,42824,51285,True
2832,2021-22,NSW,1282,43203,50401,True
2833,2021-22,NSW,286,50399,59481,True
2834,2021-22,NSW,946,35715,44631,True
2835,2021-22,NSW,2105,59253,72269,True
2836,2021-22,NSW,337,47911,61111,True
2839,2021-22,NSW,539,48963,55921,True
2840,2021-22,NSW,1380,52940,62705,True
2842,2021-22,NSW,338,33106,43016,True
2843,2021-22,NSW,670,38149,48472,True
2844,2021-22,NSW,677,44447,55784,True
2845,2021-22,NSW,1089,54352,64537,True
2847,2021-22,NSW,1189,50028,60354,True
2848,2021-22,NSW,604,37689,48940,True
2849,2021-22,NSW,811,39382,53493,True
2850,2021-22,NSW,10943,50109,66284,True
2852,2021-22,NSW,1994,44826,57374,True
2864,2021-22,NSW,482,51389,71847,True
2865,2021-22,NSW,492,54953,60129,True
2866,2021-22,NSW,1765,49710,61024,True
2867,2021-22,NSW,328,44381,53260,True
2868,2021-22,NSW,352,40098,38043,True
2869,2021-22,NSW,724,37825,44488,True
2870,2021-22,NSW,6647,51042,63490,True
2871,2021-22,NSW,5116,50177,59020,True
2873,2021-22,NSW,383,38696,41588,True
2874,2021-22,NSW,230,35986,44493,True
2875,2021-22,NSW,458,37597,50214,True
2876,2021-22,NSW,238,35086,38421,True
2877,2021-22,NSW,1957,45144,53180,True
2879,2021-22,NSW,242,51182,63980,True
2880,2021-22,NSW,9117,51977,62526,True
2898,2021-22,NSW,306,49638,58451,True
2899,2021-22,NSW,1242,46723,54278,True
2900,2021-22,ACT,3112,65330,72092,True
2902,2021-22,ACT,9967,63895,75656,True
2903,2021-22,ACT,6159,65693,75647,True
2904,2021-22,ACT,8646,69042,80622,True
2905,2021-22,ACT,18652,66572,73781,True
2906,2021-22,ACT,11901,68491,75372,True
2911,2021-22,ACT,3144,75729,86587,True
2912,2021-22,ACT,5868,56774,67254,True
2913,2021-22,ACT,26668,66096,76539,True
2914,2021-22,ACT,21917,70086,80196,True
3000,2021-22,VIC,33602,37724,57740,True
3001,2021-22,VIC,,,,False
3002,2021-22,VIC,3550,78080,175522,True
3003,2021-22,VIC,6005,52489,70007,True
3004,2021-22,VIC,8882,63691,96605,True
3006,2021-22,VIC,18268,56352,76236,True
3008,2021-22,VIC,11473,59023,81098,True
3011,2021-22,VIC,16575,54151,66186,True
3012,2021-22,VIC,17223,59588,71176,True
3013,2021-22,VIC,9633,74392,93656,True
3015,2021-22,VIC,11314,74166,91004,True
3016,2021-22,VIC,10319,68768,106120,True
3018,2021-22,VIC,8198,64896,80630,True
3019,2021-22,VIC,5770,45565,53912,True
3020,2021-22,VIC,24996,47251,54734,True
3021,2021-22,VIC,27703,42061,47811,True
3022,2021-22,VIC,1949,48937,56812,True
3023,2021-22,VIC,36592,51179,60111,True
3024,2021-22,VIC,21094,53973,62764,True
3025,2021-22,VIC,6902,61150,75496,True
3026,2021-22,VIC,3170,53233,64623,True
3027,2021-22,VIC,6237,56048,69205,True
3028,2021-22,VIC,16363,53374,61056,True
3029,2021-22,VIC,80121,49884,57650,True
3030,2021-22,VIC,73417,55738,69115,True
3031,2021-22,VIC,11463,64520,81601,True
3032,2021-22,VIC,19652,60258,82819,True
3033,2021-22,VIC,8724,57291,77687,True
3034,2021-22,VIC,6730,54773,69956,True
3036,2021-22,VIC,3835,57887,79364,True
3037,2021-22,VIC,29879,53326,62804,True
3038,2021-22,VIC,16370,52559,64211,True
3039,2021-22,VIC,10923,66481,92840,True
3040,2021-22,VIC,17792,64453,105368,True
3041,2021-22,VIC,8465,63712,86592,True
3042,2021-22,VIC,10115,61285,74643,True
3043,2021-22,VIC,10082,52540,61447,True
3044,2021-22,VIC,17316,62954,76851,True
3046,2021-22,VIC,21803,52845,62285,True
3047,2021-22,VIC,9664,37921,45909,True
3048,2021-22,VIC,7689,38897,45666,True
3049,2021-22,VIC,5886,53365,63514,True
3051,2021-22,VIC,9757,52111,72409,True
3052,2021-22,VIC,3887,47575,81577,True
3053,2021-22,VIC,11091,35531,55545,True
3054,2021-22,VIC,5721,63274,103942,True
3055,2021-22,VIC,9589,59451,77470,True
3056,2021-22,VIC,17396,62533,78587,True
3057,2021-22,VIC,9483,67436,81377,True
3058,2021-22,VIC,21856,58593,73532,True
3059,2021-22,VIC,13327,55082,69128,True
3060,2021-22,VIC,7474,45831,56008,True
3061,2021-22,VIC,2266,41375,50974,True
3063,2021-22,VIC,388,49448,76576,True
3064,2021-22,VIC,63822,48461,55758,True
3065,2021-22,VIC,6978,66739,96670,True
3066,2021-22,VIC,6565,70312,89360,True
3067,2021-22,VIC,6700,68277,88427,True
3068,2021-22,VIC,12666,71021,107638,True
3070,2021-22,VIC,16446,68781,96636,True
3071,2021-22,VIC,11865,62561,81011,True
3072,2021-22,VIC,21208,57317,70878,True
3073,2021-22,VIC,28925,53290,63081,True
3074,2021-22,VIC,10388,45222,51833,True
3075,2021-22,VIC,11682,46211,53242,True
3076,2021-22,VIC,18718,49550,56762,True
3078,2021-22,VIC,7991,67612,100763,True
3079,2021-22,VIC,11627,66123,113928,True
3081,2021-22,VIC,8240,53599,63593,True
3082,2021-22,VIC,17327,50905,59867,True
3083,2021-22,VIC,18911,48714,60668,True
3084,2021-22,VIC,16847,62501,89512,True
3085,2021-22,VIC,8527,59455,77118,True
3087,2021-22,VIC,5388,58829,70179,True
3088,2021-22,VIC,16743,59814,72862,True
3089,2021-22,VIC,8155,60426,75124,True
3090,2021-22,VIC,1759,62540,94728,True
3091,2021-22,VIC,1101,60907,105921,True
3093,2021-22,VIC,2523,61162,96479,True
3094,2021-22,VIC,5573,59470,74409,True
3095,2021-22,VIC,18368,60033,83775,True
3096,2021-22,VIC,1223,51722,71376,True
3097,2021-22,VIC,970,53961,116710,True
3099,2021-22,VIC,3130,53901,71047,True
3101,2021-22,VIC,16351,65866,130274,True
3102,2021-22,VIC,4324,61031,111815,True
3103,2021-22,VIC,10580,49450,94720,True
3104,2021-22,VIC,13677,52318,93672,True
3105,2021-22,VIC,6989,51411,74767,True
3106,2021-22,VIC,10834,50113,87583,True
3107,2021-22,VIC,8544,51039,73246,True
3108,2021-22,VIC,16155,44966,64955,True
3109,2021-22,VIC,19187,45467,64105,True
3111,2021-22,VIC,8046,50838,79544,True
3113,2021-22,VIC,5561,58015,95575,True
3114,2021-22,VIC,2543,59391,103795,True
3115,2021-22,VIC,2656,58579,110872,True
3116,2021-22,VIC,7380,54426,67718,True
3121,2021-22,VIC,21349,73373,97993,True
3122,2021-22,VIC,16174,66283,150935,True
3123,2021-22,VIC,10254,69014,115203,True
3124,2021-22,VIC,15160,62587,116332,True
3125,2021-22,VIC,9630,44956,65067,True
3126,2021-22,VIC,5420,66441,146840,True
3127,2021-22,VIC,12671,62708,105164,True
3128,2021-22,VIC,14465,41895,59399,True
3129,2021-22,VIC,11023,49249,72598,True
3130,2021-22,VIC,20871,54699,79417,True
3131,2021-22,VIC,14008,52229,67301,True
3132,2021-22,VIC,10837,56319,73886,True
3133,2021-22,VIC,14241,49751,68628,True
3134,2021-22,VIC,21671,54567,72954,True
3135,2021-22,VIC,12435,55766,70612,True
3136,2021-22,VIC,28137,55043,67330,True
3137,2021-22,VIC,8953,54434,63320,True
3138,2021-22,VIC,13921,54119,64721,True
3139,2021-22,VIC,8943,50756,62017,True
3140,2021-22,VIC,10937,53562,65152,True
3141,2021-22,VIC,18289,70554,128008,True
3142,2021-22,VIC,9540,79919,266020,True
3143,2021-22,VIC,6757,74769,136611,True
3144,2021-22,VIC,7756,77710,177268,True
3145,2021-22,VIC,15619,62754,111222,True
3146,2021-22,VIC,17104,69427,119793,True
3147,2021-22,VIC,9405,61918,93828,True
3148,2021-22,VIC,6097,55259,69553,True
3149,2021-22,VIC,22934,51625,75260,True
3150,2021-22,VIC,39923,45586,70920,True
3151,2021-22,VIC,6971,45312,60119,True
3152,2021-22,VIC,21961,50025,64267,True
3153,2021-22,VIC,12864,53449,60671,True
3154,2021-22,VIC,2698,54820,66132,True
3155,2021-22,VIC,14125,53508,60783,True
3156,2021-22,VIC,23844,54364,67165,True
3158,2021-22,VIC,4313,53508,67163,True
3159,2021-22,VIC,1593,57173,70462,True
3160,2021-22,VIC,5645,57258,74901,True
3161,2021-22,VIC,11280,66023,121381,True
3162,2021-22,VIC,11815,63596,101539,True
3163,2021-22,VIC,21829,59392,78800,True
3165,2021-22,VIC,18080,60349,80918,True
3166,2021-22,VIC,15550,56480,72835,True
3167,2021-22,VIC,6005,53834,67562,True
3168,2021-22,VIC,14050,39532,49241,True
3169,2021-22,VIC,12397,48722,56716,True
3170,2021-22,VIC,12039,52100,66919,True
3171,2021-22,VIC,12786,41027,47968,True
3172,2021-22,VIC,13714,46614,57575,True
3173,2021-22,VIC,17948,50896,60990,True
3174,2021-22,VIC,22671,44832,49648,True
3175,2021-22,VIC,28286,45011,51782,True
3177,2021-22,VIC,6125,43679,47176,True
3178,2021-22,VIC,21848,55447,67154,True
3179,2021-22,VIC,3783,51733,62376,True
3180,2021-22,VIC,4807,51331,60613,True
3181,2021-22,VIC,13941,70690,104694,True
3182,2021-22,VIC,16526,61425,87572,True
3183,2021-22,VIC,11921,61788,88910,True
3184,2021-22,VIC,10360,72472,108247,True
3185,2021-22,VIC,8966,66890,106903,True
3186,2021-22,VIC,16352,73381,170500,True
3187,2021-22,VIC,10539,64400,111098,True
3188,2021-22,VIC,11786,65933,117213,True
3189,2021-22,VIC,4056,59275,74933,True
3190,2021-22,VIC,7499,64386,84092,True
3191,2021-22,VIC,7083,68927,120264,True
3192,2021-22,VIC,14983,59910,76888,True
3193,2021-22,VIC,13548,63808,114222,True
3194,2021-22,VIC,8727,60522,79988,True
3195,2021-22,VIC,23373,60235,80354,True
3196,2021-22,VIC,16192,60930,73684,True
3197,2021-22,VIC,7557,58180,75398,True
3198,2021-22,VIC,10097,53931,63005,True
3199,2021-22,VIC,32459,52213,64145,True
3200,2021-22,VIC,2659,46184,50424,True
3201,2021-22,VIC,13197,53792,59706,True
3202,2021-22,VIC,1694,57595,71471,True
3204,2021-22,VIC,20928,61359,85340,True
3205,2021-22,VIC,8340,69271,106903,True
3206,2021-22,VIC,6767,80858,178133,True
3207,2021-22,VIC,11755,76068,113516,True
3211,2021-22,VIC,778,52344,83648,True
3212,2021-22,VIC,11375,56517,66244,True
3213,2021-22,VIC,2717,53859,69385,True
3214,2021-22,VIC,11726,44607,48499,True
3215,2021-22,VIC,12812,52699,64510,True
3216,2021-22,VIC,36634,51955,67194,True
3217,2021-22,VIC,14486,58357,66233,True
3218,2021-22,VIC,9488,59048,76119,True
3219,2021-22,VIC,11605,49204,57962,True
3220,2021-22,VIC,11450,57846,93586,True
3221,2021-22,VIC,1396,55879,102108,True
3222,2021-22,VIC,10660,49438,63878,True
3223,2021-22,VIC,5437,43485,59648,True
3224,2021-22,VIC,8823,49792,59795,True
3225,2021-22,VIC,3454,46813,77742,True
3226,2021-22,VIC,10819,53159,71918,True
3227,2021-22,VIC,3448,58863,96038,True
3228,2021-22,VIC,15137,58894,83193,True
3230,2021-22,VIC,1918,46600,74579,True
3231,2021-22,VIC,996,45559,77309,True
3232,2021-22,VIC,885,43277,83793,True
3233,2021-22,VIC,1437,40523,52951,True
3235,2021-22,VIC,282,37049,59669,True
3239,2021-22,VIC,259,43017,59676,True
3240,2021-22,VIC,1502,55250,71596,True
3241,2021-22,VIC,1915,47568,58707,True
3242,2021-22,VIC,665,47099,58602,True
3243,2021-22,VIC,254,43998,56167,True
3249,2021-22,VIC,2208,45861,54287,True
3250,2021-22,VIC,7600,49349,56367,True
3251,2021-22,VIC,356,49575,60110,True
3260,2021-22,VIC,2849,46287,55400,True
3264,2021-22,VIC,1461,47800,57592,True
3265,2021-22,VIC,1651,50820,58628,True
3266,2021-22,VIC,1830,47828,57561,True
3268,2021-22,VIC,1809,45413,54930,True
3269,2021-22,VIC,443,43647,58237,True
3272,2021-22,VIC,902,43596,51265,True
3275,2021-22,VIC,324,52863,60806,True
3276,2021-22,VIC,310,43288,52941,True
3277,2021-22,VIC,1166,52325,66389,True
3278,2021-22,VIC,,,,False
3279,2021-22,VIC,226,48894,61483,True
3280,2021-22,VIC,20691,49909,60534,True
3281,2021-22,VIC,1237,52466,64824,True
3282,2021-22,VIC,1734,50444,58887,True
3283,2021-22,VIC,873,49825,61997,True
3284,2021-22,VIC,2184,47130,65024,True
3285,2021-22,VIC,789,51345,75718,True
3286,2021-22,VIC,366,46680,63340,True
3287,2021-22,VIC,287,52700,63250,True
3289,2021-22,VIC,454,45078,55021,True
3293,2021-22,VIC,209,48180,65718,True
3294,2021-22,VIC,645,46089,59668,True
3300,2021-22,VIC,6080,47738,57201,True
3301,2021-22,VIC,804,49275,72670,True
3302,2021-22,VIC,268,48493,63535,True
3303,2021-22,VIC,,,,False
3304,2021-22,VIC,1539,46790,55741,True
3305,2021-22,VIC,7563,47533,58362,True
3311,2021-22,VIC,885,43385,52909,True
3312,2021-22,VIC,577,46832,62405,True
3314,2021-22,VIC,363,45719,57958,True
3315,2021-22,VIC,994,44138,56479,True
3318,2021-22,VIC,714,45579,56268,True
3319,2021-22,VIC,243,49024,63612,True
3321,2021-22,VIC,1074,55442,68055,True
3324,2021-22,VIC,319,42244,53997,True
3325,2021-22,VIC,283,38844,44604,True
3328,2021-22,VIC,1362,55112,66066,True
3331,2021-22,VIC,4366,55630,67937,True
3332,2021-22,VIC,763,49902,60567,True
3333,2021-22,VIC,528,46211,71906,True
3334,2021-22,VIC,349,49469,59190,True
3335,2021-22,VIC,6126,54425,61859,True
3336,2021-22,VIC,11751,57259,64322,True
3337,2021-22,VIC,22021,49230,56023,True
3338,2021-22,VIC,20970,50210,56676,True
3340,2021-22,VIC,15268,55512,70056,True
3341,2021-22,VIC,1004,56359,68601,True
3342,2021-22,VIC,2278,53991,66292,True
3345,2021-22,VIC,852,61247,73594,True
3350,2021-22,VIC,39204,51689,66497,True
3351,2021-22,VIC,5461,49053,57906,True
3352,2021-22,VIC,11443,51540,64473,True
3353,2021-22,VIC,,,,False
3354,2021-22,VIC,,,,False
3355,2021-22,VIC,6536,45490,56172,True
3356,2021-22,VIC,8220,45311,50460,True
3357,2021-22,VIC,2328,56405,70189,True
3358,2021-22,VIC,2339,55139,63520,True
3360,2021-22,VIC,436,49417,55799,True
3361,2021-22,VIC,352,42463,49449,True
3363,2021-22,VIC,1902,45833,58614,True
3364,2021-22,VIC,1283,43584,55037,True
3370,2021-22,VIC,995,43203,51328,True
3371,2021-22,VIC,531,38327,47075,True
3373,2021-22,VIC,1347,42503,52477,True
3374,2021-22,VIC,244,53064,60856,True
3377,2021-22,VIC,5124,46346,54693,True
3379,2021-22,VIC,394,47479,60609,True
3380,2021-22,VIC,3615,45394,53159,True
3381,2021-22,VIC,807,43237,55739,True
3384,2021-22,VIC,352,40427,45153,True
3385,2021-22,VIC,297,39859,59036,True
3387,2021-22,VIC,,,,False
3388,2021-22,VIC,348,52314,70188,True
3390,2021-22,VIC,521,45505,56030,True
3392,2021-22,VIC,305,41997,64640,True
3393,2021-22,VIC,1442,47309,64912,True
3395,2021-22,VIC,243,55377,72975,True
3396,2021-22,VIC,429,45945,66195,True
3400,2021-22,VIC,8835,49264,58935,True
3401,2021-22,VIC,2943,51940,64765,True
3402,2021-22,VIC,237,52060,65027,True
3407,2021-22,VIC,276,47911,57757,True
3409,2021-22,VIC,661,46761,58725,True
3414,2021-22,VIC,938,45835,58590,True
3418,2021-22,VIC,1655,50534,58089,True
3419,2021-22,VIC,566,44475,56099,True
3423,2021-22,VIC,203,36359,44880,True
3424,2021-22,VIC,467,44081,60967,True
3427,2021-22,VIC,3728,59931,66147,True
3428,2021-22,VIC,400,48665,69594,True
3429,2021-22,VIC,23769,56982,67245,True
3431,2021-22,VIC,2755,55357,70397,True
3434,2021-22,VIC,3689,57369,72018,True
3435,2021-22,VIC,1984,53501,66865,True
3437,2021-22,VIC,7200,60710,78733,True
3438,2021-22,VIC,1506,59153,78502,True
3440,2021-22,VIC,1271,63367,90931,True
3441,2021-22,VIC,877,69712,124465,True
3442,2021-22,VIC,5025,58122,85317,True
3444,2021-22,VIC,5861,51850,71573,True
3446,2021-22,VIC,680,50839,61078,True
3447,2021-22,VIC,318,42233,62157,True
3448,2021-22,VIC,579,45617,64059,True
3450,2021-22,VIC,3973,43927,57802,True
3451,2021-22,VIC,3271,47999,60461,True
3453,2021-22,VIC,1221,49805,64750,True
3458,2021-22,VIC,1395,46963,66284,True
3460,2021-22,VIC,1626,43468,60967,True
3461,2021-22,VIC,2591,42617,67770,True
3462,2021-22,VIC,681,43293,51850,True
3463,2021-22,VIC,1453,42248,54834,True
3464,2021-22,VIC,635,43114,50858,True
3465,2021-22,VIC,4793,42118,49812,True
3467,2021-22,VIC,679,42352,49129,True
3472,2021-22,VIC,740,37753,46555,True
3477,2021-22,VIC,486,44180,53575,True
3478,2021-22,VIC,1339,42846,50819,True
3480,2021-22,VIC,1067,41028,50015,True
3483,2021-22,VIC,564,49188,60522,True
3490,2021-22,VIC,692,44666,51864,True
3494,2021-22,VIC,340,44456,48315,True
3496,2021-22,VIC,3773,44799,49697,True
3498,2021-22,VIC,3524,47772,54905,True
3500,2021-22,VIC,19374,45758,53689,True
3501,2021-22,VIC,1824,51554,62271,True
3502,2021-22,VIC,655,48638,70043,True
3505,2021-22,VIC,2753,45536,50141,True
3512,2021-22,VIC,212,39913,51686,True
3515,2021-22,VIC,1551,54331,68494,True
3516,2021-22,VIC,454,47341,61052,True
3517,2021-22,VIC,735,39330,47852,True
3518,2021-22,VIC,671,40416,49145,True
3521,2021-22,VIC,437,48919,59442,True
3523,2021-22,VIC,1948,43850,55036,True
3525,2021-22,VIC,755,41337,49175,True
3527,2021-22,VIC,448,42608,49792,True
3533,2021-22,VIC,425,44436,55656,True
3537,2021-22,VIC,594,43304,50756,True
3546,2021-22,VIC,265,49989,55248,True
3549,2021-22,VIC,2771,32968,42453,True
3550,2021-22,VIC,24509,49429,64653,True
3551,2021-22,VIC,22122,54349,65393,True
3552,2021-22,VIC,,,,False
3555,2021-22,VIC,11661,47895,55677,True
3556,2021-22,VIC,7830,47068,52235,True
3557,2021-22,VIC,538,51388,59831,True
3558,2021-22,VIC,560,45474,78240,True
3559,2021-22,VIC,297,41523,56367,True
3561,2021-22,VIC,2607,45334,51815,True
3563,2021-22,VIC,434,41894,46214,True
3564,2021-22,VIC,10362,48499,59843,True
3566,2021-22,VIC,331,41019,48777,True
3567,2021-22,VIC,395,41245,46160,True
3568,2021-22,VIC,1628,44496,52467,True
3570,2021-22,VIC,427,46050,52897,True
3571,2021-22,VIC,200,42637,48112,True
3573,2021-22,VIC,216,48030,55230,True
3575,2021-22,VIC,494,43680,46110,True
3579,2021-22,VIC,2975,42504,50020,True
3580,2021-22,VIC,622,39552,44983,True
3584,2021-22,VIC,670,43924,52402,True
3585,2021-22,VIC,7387,47926,57197,True
3586,2021-22,VIC,340,46019,54765,True
3588,2021-22,VIC,204,42573,45541,True
3590,2021-22,VIC,200,45697,53119,True
3594,2021-22,VIC,388,39681,44623,True
3595,2021-22,VIC,333,39720,47585,True
3597,2021-22,VIC,285,47542,52684,True
3608,2021-22,VIC,1615,49480,62424,True
3610,2021-22,VIC,804,45081,51938,True
3612,2021-22,VIC,898,40745,51763,True
3614,2021-22,VIC,602,55096,78545,True
3616,2021-22,VIC,3299,47041,55930,True
3618,2021-22,VIC,408,41115,48439,True
3620,2021-22,VIC,4764,44244,51106,True
3621,2021-22,VIC,1386,43920,50318,True
3622,2021-22,VIC,273,37996,44568,True
3623,2021-22,VIC,514,40140,47439,True
3624,2021-22,VIC,307,43255,44507,True
3629,2021-22,VIC,5121,45395,50616,True
3630,2021-22,VIC,17890,45558,55571,True
3631,2021-22,VIC,8952,52114,64190,True
3632,2021-22,VIC,,,,False
3633,2021-22,VIC,414,46580,53602,True
3634,2021-22,VIC,1155,46491,52108,True
3635,2021-22,VIC,332,44916,46419,True
3636,2021-22,VIC,2945,46215,52679,True
3637,2021-22,VIC,342,41504,46713,True
3638,2021-22,VIC,1221,44613,51614,True
3639,2021-22,VIC,310,39271,46336,True
3640,2021-22,VIC,671,40364,46333,True
3641,2021-22,VIC,704,48981,56316,True
3644,2021-22,VIC,5333,44672,53357,True
3646,2021-22,VIC,365,44483,53436,True
3649,2021-22,VIC,269,41265,53410,True
3658,2021-22,VIC,3714,50838,61986,True
3659,2021-22,VIC,435,51733,67951,True
3660,2021-22,VIC,4200,46486,55332,True
3662,2021-22,VIC,454,75198,69939,True
3664,2021-22,VIC,705,48469,60015,True
3665,2021-22,VIC,230,45487,60459,True
3666,2021-22,VIC,2831,43945,55344,True
3669,2021-22,VIC,817,37898,52183,True
3670,2021-22,VIC,375,43305,50373,True
3672,2021-22,VIC,5992,45789,55515,True
3673,2021-22,VIC,1125,40740,53588,True
3675,2021-22,VIC,1234,45517,55282,True
3676,2021-22,VIC,,,,False
3677,2021-22,VIC,10971,47800,56563,True
3678,2021-22,VIC,4349,48035,63066,True
3682,2021-22,VIC,391,51265,57712,True
3683,2021-22,VIC,1063,46662,53291,True
3685,2021-22,VIC,1888,49015,57027,True
3687,2021-22,VIC,641,50381,58050,True
3688,2021-22,VIC,924,51691,63745,True
3690,2021-22,VIC,20876,51162,58291,True
3691,2021-22,VIC,8072,56813,65258,True
3695,2021-22,VIC,323,41418,55154,True
3697,2021-22,VIC,333,34001,49851,True
3698,2021-22,VIC,625,45236,61787,True
3699,2021-22,VIC,687,40409,50749,True
3700,2021-22,VIC,855,47097,53687,True
3701,2021-22,VIC,646,44445,59517,True
3707,2021-22,VIC,1003,44417,53664,True
3709,2021-22,VIC,,,,False
3711,2021-22,VIC,346,38582,57877,True
3712,2021-22,VIC,207,47471,56556,True
3713,2021-22,VIC,487,45310,52521,True
3714,2021-22,VIC,2164,44888,56482,True
3715,2021-22,VIC,212,40860,56873,True
3717,2021-22,VIC,1872,42359,54160,True
3719,2021-22,VIC,276,39033,66410,True
3720,2021-22,VIC,431,39650,51270,True
3722,2021-22,VIC,3583,45420,61174,True
3723,2021-22,VIC,1781,40176,55208,True
3725,2021-22,VIC,420,47006,59276,True
3726,2021-22,VIC,237,36602,44485,True
3727,2021-22,VIC,,,,False
3728,2021-22,VIC,373,40814,45612,True
3730,2021-22,VIC,5503,45855,57721,True
3732,2021-22,VIC,415,40675,53255,True
3735,2021-22,VIC,447,49920,58700,True
3737,2021-22,VIC,2777,45849,55287,True
3740,2021-22,VIC,755,45984,55772,True
3741,2021-22,VIC,2144,45787,59148,True
3744,2021-22,VIC,285,43144,65850,True
3746,2021-22,VIC,219,46760,57412,True
3747,2021-22,VIC,3039,48119,59768,True
3749,2021-22,VIC,1289,50786,64436,True
3750,2021-22,VIC,14652,51984,58752,True
3752,2021-22,VIC,15237,54958,64078,True
3753,2021-22,VIC,3069,58397,66479,True
3754,2021-22,VIC,29665,56582,64967,True
3756,2021-22,VIC,9851,53454,62208,True
3757,2021-22,VIC,5422,51405,66491,True
3758,2021-22,VIC,1339,55081,63801,True
3759,2021-22,VIC,692,53998,110278,True
3760,2021-22,VIC,269,48649,69590,True
3761,2021-22,VIC,761,50446,70805,True
3763,2021-22,VIC,1051,50524,60733,True
3764,2021-22,VIC,5906,53658,66778,True
3765,2021-22,VIC,4119,56019,68098,True
3766,2021-22,VIC,730,54970,68019,True
3767,2021-22,VIC,724,54338,75222,True
3770,2021-22,VIC,2037,52520,86381,True
3775,2021-22,VIC,2571,51954,68139,True
3777,2021-22,VIC,6303,47257,59539,True
3779,2021-22,VIC,296,35808,50063,True
3781,2021-22,VIC,2683,54214,63565,True
3782,2021-22,VIC,4972,53023,70088,True
3783,2021-22,VIC,1507,52250,66482,True
3786,2021-22,VIC,951,54401,79705,True
3787,2021-22,VIC,653,49839,77507,True
3788,2021-22,VIC,1106,50319,75065,True
3791,2021-22,VIC,896,57185,73144,True
3792,2021-22,VIC,641,51868,71058,True
3793,2021-22,VIC,2156,50047,64466,True
3795,2021-22,VIC,901,49669,66643,True
3796,2021-22,VIC,5938,53162,63339,True
3797,2021-22,VIC,2079,45840,55411,True
3799,2021-22,VIC,3190,44664,52718,True
3802,2021-22,VIC,14135,48384,56815,True
3803,2021-22,VIC,6090,45634,51958,True
3804,2021-22,VIC,5385,55922,79380,True
3805,2021-22,VIC,34456,50250,59022,True
3806,2021-22,VIC,31595,55750,82924,True
3807,2021-22,VIC,4922,57767,74451,True
3808,2021-22,VIC,2012,58597,106105,True
3809,2021-22,VIC,12960,57682,64992,True
3810,2021-22,VIC,32270,50980,57671,True
3812,2021-22,VIC,1549,48137,62557,True
3813,2021-22,VIC,582,50366,60196,True
3814,2021-22,VIC,1521,51171,64981,True
3815,2021-22,VIC,2138,51410,92246,True
3816,2021-22,VIC,1825,49460,57559,True
3818,2021-22,VIC,10169,48519,57191,True
3820,2021-22,VIC,12354,51019,63989,True
3821,2021-22,VIC,1877,46228,62077,True
3822,2021-22,VIC,671,50069,59758,True
3823,2021-22,VIC,1323,47743,58385,True
3824,2021-22,VIC,3150,49588,64581,True
3825,2021-22,VIC,11005,46308,56401,True
3831,2021-22,VIC,1158,45487,64665,True
3835,2021-22,VIC,343,44000,55460,True
3840,2021-22,VIC,8516,44406,55209,True
3842,2021-22,VIC,2542,45636,53748,True
3844,2021-22,VIC,18365,53827,67977,True
3847,2021-22,VIC,1267,46641,55261,True
3850,2021-22,VIC,8696,49112,63890,True
3851,2021-22,VIC,2878,43364,57602,True
3854,2021-22,VIC,952,57351,69326,True
3856,2021-22,VIC,652,50280,60970,True
3857,2021-22,VIC,222,47472,51034,True
3858,2021-22,VIC,1794,46014,52209,True
3859,2021-22,VIC,496,46389,54762,True
3860,2021-22,VIC,4319,46428,58929,True
3862,2021-22,VIC,2215,48229,55715,True
3865,2021-22,VIC,342,40973,49475,True
3869,2021-22,VIC,1157,50724,65351,True
3870,2021-22,VIC,736,44990,52138,True
3871,2021-22,VIC,1687,46368,58150,True
3873,2021-22,VIC,206,38394,48773,True
3874,2021-22,VIC,389,38609,107669,True
3875,2021-22,VIC,11544,45514,54083,True
3878,2021-22,VIC,760,44702,54402,True
3880,2021-22,VIC,2283,38863,51071,True
3882,2021-22,VIC,835,47810,54029,True
3885,2021-22,VIC,1117,43014,49272,True
3886,2021-22,VIC,215,40610,50081,True
3888,2021-22,VIC,1870,43056,50850,True
3892,2021-22,VIC,612,36656,46520,True
3896,2021-22,VIC,227,40390,54956,True
3898,2021-22,VIC,411,41696,51808,True
3902,2021-22,VIC,245,38584,47621,True
3903,2021-22,VIC,456,40286,50129,True
3904,2021-22,VIC,1071,39586,55648,True
3909,2021-22,VIC,4467,38520,48807,True
3910,2021-22,VIC,14282,55820,65776,True
3911,2021-22,VIC,2163,52515,67817,True
3912,2021-22,VIC,9535,52786,66155,True
3913,2021-22,VIC,2250,51252,66656,True
3915,2021-22,VIC,5504,48055,58107,True
3916,2021-22,VIC,660,53180,166284,True
3918,2021-22,VIC,2575,48089,64805,True
3919,2021-22,VIC,1909,48560,57528,True
3920,2021-22,VIC,404,58466,62775,True
3922,2021-22,VIC,5586,39438,53621,True
3923,2021-22,VIC,462,39927,79097,True
3925,2021-22,VIC,2600,44984,61091,True
3926,2021-22,VIC,2181,51091,105706,True
3927,2021-22,VIC,1078,49313,98767,True
3928,2021-22,VIC,313,50795,123843,True
3929,2021-22,VIC,723,51726,150867,True
3930,2021-22,VIC,11515,61130,105186,True
3931,2021-22,VIC,14979,49572,70979,True
3933,2021-22,VIC,720,50904,90410,True
